compound	response
DTXSID0020232	0
DTXSID0020573	0
DTXSID0020606	0
DTXSID0020814	1
DTXSID0021961	1
DTXSID0022432	0
DTXSID0067428	1
DTXSID00872663	1
DTXSID1020807	0
DTXSID1021322	0
DTXSID1021956	0
DTXSID1022394	1
DTXSID1023998	0
DTXSID1027479	1
DTXSID1031626	0
DTXSID1034187	1
DTXSID1041891	1
DTXSID10864610	0
DTXSID2020139	1
DTXSID2020971	0
DTXSID2021151	1
DTXSID2021781	0
DTXSID2025892	1
DTXSID2026602	1
DTXSID2027886	0
DTXSID3020205	0
DTXSID3022405	1
DTXSID3024104	1
DTXSID3024289	0
DTXSID3030636	0
DTXSID3041035	1
DTXSID30865801	0
DTXSID4020161	1
DTXSID4022311	1
DTXSID4022369	0
DTXSID4026050	1
DTXSID4031980	1
DTXSID4047468	0
DTXSID4060109	1
DTXSID5020029	0
DTXSID5020607	0
DTXSID5020576	1
DTXSID5022308	1
DTXSID5023902	1
DTXSID5025021	1
DTXSID6022399	1
DTXSID6022474	0
DTXSID6024254	0
DTXSID6034186	0
DTXSID7020182	1
DTXSID7020348	0
DTXSID7020716	1
DTXSID7022384	0
DTXSID7029320	0
DTXSID8020123	1
DTXSID8020913	0
DTXSID8022292	1
DTXSID8022325	1
DTXSID8022531	1
DTXSID8024105	0
DTXSID8031077	0
DTXSID8041668	1
DTXSID8047892	1
DTXSID80862527	0
DTXSID80891559	1
DTXSID9020112	0
DTXSID9020827	1
DTXSID9022310	1
DTXSID9022528	0
DTXSID9036438	1
DTXSID9037745	1
DTXSID90891560	1
