DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020498,Dimethyl terephthalate,120-61-6,C10H10O4,194.057909,25,570,4.0,Inactive,-0.22681716353383705,-0.22501716212876355,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021254,Safrole,94-59-7,C10H10O2,162.068080,8,591,1.0,Inactive,0.04022614014973448,0.03990690897841528,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021331,Tetrakis(hydroxymethyl)phosphonium sulfate,55566-30-8,C8H24O12P2S,406.046371,38,331,11.0,Active,-2.8717788366788475,-2.8489886480505024,3.8600843222414394,0.586596791792007
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021460,Zearalenone,17924-92-4,C18H22O5,318.146724,150,416,36.0,Active,-2.8650459650459243,-2.842309207904909,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023878,Anthracene,120-12-7,C14H10,178.078250,38,651,6.0,Inactive,0.42582602898482547,0.4224467104246795,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0032651,Thidiazuron,51707-55-2,C9H8N4OS,220.041882,149,690,22.0,Active,-2.4468089133173723,-2.4273912492689433,30.778674953990237,1.488249919181063
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0040707,4-Pentylaniline,33228-44-3,C11H17N,163.136100,49,601,8.0,Inactive,0.8300227819991464,0.8234357929434499,3.123176012402669,0.4945964603945251
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0042167,Monopotassium phthalate,877-24-7,C8H5KO4,203.982490,2,356,1.0,Inactive,-0.062190560647165216,-0.061697021733252706,0.040000001286256526,-1.397939994706685
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0052621,4-Prop-1-enylveratrole,93-16-3,C11H14O2,178.099380,6,213,3.0,Active,1.7939497062625516,1.77971307645203,34.74817812484906,1.54093203911126
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021956,Di-n-octyl phthalate,117-84-0,C24H38O4,390.277010,15,599,3.0,Inactive,0.42140575410441644,0.418061514463659,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023314,Metyrapone,54-36-4,C14H14N2O,226.110613,8,249,3.0,Active,-2.7957230245399676,-2.7735364082629435,0.12488884452515198,-0.9034763524788503
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026035,Sodium 2-mercaptobenzothiolate,2492-26-4,C7H4NNaS2,188.968286,53,474,11.0,Inactive,-0.4599687659839057,-0.4563184936140308,9.41873823273973,0.9739927270750951
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026241,"3,3,5-Trimethylcyclohexyl salicylate",118-56-9,C16H22O3,262.156895,28,362,8.0,Inactive,0.6525730748980287,0.6473943113801861,16.628056545468954,1.2208414927011118
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1032488,Thiazopyr,117718-60-2,C16H17F5N2O2S,396.093090,98,668,15.0,Active,-2.735193156296076,-2.713486899821592,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1032642,Rimsulfuron,122931-48-0,C14H17N5O7S2,431.056940,17,387,4.0,Inactive,0.2782341590721473,0.27602611683466205,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1041421,"5,7-Dimethoxy-2H-chromen-2-one",487-06-9,C11H10O4,206.057909,16,360,4.0,Inactive,0.2562717959549332,0.2542380451328497,4.944271893512866,0.6941023452938434
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1041508,4-Chloro-2-methylaniline,95-69-2,C7H8ClN,141.034527,13,444,3.0,Inactive,-0.2101549594317473,-0.20848718783824582,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1047281,CP-612372,353280-07-6,C22H20N4O4,404.148455,54,603,9.0,Inactive,0.6547831211266281,0.6495868188729386,0.04080006067330202,-1.3893391910752997
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1047497,Octyl decyl phthalate,119-07-3,C26H42O4,418.308310,9,358,3.0,Inactive,-0.6279711808153468,-0.6229876558025024,46.106844935127775,1.6637654047146382
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021781,"Dibutyl 1,2-benzenedicarboxylate",84-74-2,C16H22O4,278.151809,80,759,11.0,Inactive,-0.17785263594455794,-0.17644121279822944,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2025680,Mono(2-ethylhexyl) phthalate,4376-20-9,C16H22O4,278.151809,69,737,9.0,Inactive,-0.1559644416174128,-0.15472672128937878,4.0375192434386555,0.6061146052584918
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2029325,Methyl dihydrojasmonate,24851-98-7,C13H22O3,226.156895,4,361,1.0,Inactive,0.1593989825518068,0.15813400600377878,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2032390,Fenarimol,60168-88-9,C17H12Cl2N2O,330.032668,275,778,35.0,Active,-2.7357270598380574,-2.714016566351212,0.17803296217472733,-0.7494995821557069
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2040731,Diisopropyl phthalate,605-45-8,C14H18O4,250.120509,19,358,5.0,Inactive,0.37677368049783744,0.37378363713549,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2047307,PD-0333941,501027-49-2,C23H22N2O4,390.157957,134,619,22.0,Inactive,-0.5287622435591426,-0.524566032097331,3.036954286489965,0.4824382547847207
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020205,Benzyl butyl phthalate,85-68-7,C19H20O4,312.136159,94,700,13.0,Inactive,0.19110693884341728,0.18959033069490683,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020465,Diethylstilbestrol,56-53-1,C18H20O2,268.146330,394,806,49.0,Active,-2.9541794335589624,-2.930735320915996,31.853837261629913,1.5031617569592872
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3022455,Dimethyl phthalate,131-11-3,C10H10O4,194.057909,2,673,0.0,Inactive,0.265341763940957,0.26323603463689066,4.28250021601218,0.6316973935436533
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3025178,"1,3-Diphenylguanidine",102-06-7,C13H13N3,211.110947,88,633,14.0,Active,-1.8961576665228383,-1.8811099231739412,33.15923553242142,1.5206045095779337
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3026566,"Dimethyl cyclohexane-1,4-dicarboxylate",94-60-0,C10H16O4,200.104859,3,358,1.0,Inactive,0.29300793156507166,0.2906826459460399,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3026728,(Z)-Nerol,106-25-2,C10H18O,154.135765,21,617,3.0,Active,-1.2212764975883477,-1.211584552863387,50.00000000000001,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3031860,Perfluorodecanoic acid,335-76-2,C10HF19O2,513.967314,269,705,38.0,Inactive,-0.06223005414847772,-0.06173620181755238,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3038808,"1,3,5,7-Tetramethyl-1,3,5,7-tetravinylcyclotetrasiloxane",2554-06-5,C12H24O4Si4,344.075165,27,361,7.0,Inactive,0.34274367579262305,0.34002369160626433,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3042130,Diphenylmercury(II),587-85-9,C12H10Hg,356.048893,97,368,26.0,Active,-1.550225656877742,-1.5379232000570762,74.49099358833128,1.872103767092749
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40196931,Ethylene dimethanesulfonate,4672-49-5,C4H10O6S2,217.991880,0,12,0.0,Inactive,0.0580302234002757,0.05756970056315961,0.04000016915128277,-1.3979381721392028
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4020618,"4-(5,6,7,8-Tetrahydroimidazo(1,5-a)pyridin-5-yl)benzonitrile monohydrochloride",102676-31-3,C14H14ClN3,259.087625,21,395,5.0,Active,-2.7357288732074654,-2.7140183653298773,1.2956764583520322,0.11249656797400762
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4023202,"4,4'-(1H-1,2,4-Triazol-1-ylmethylene)dibenzonitrile",112809-51-5,C17H11N5,285.101445,8,377,2.0,Inactive,-0.929490947565297,-0.9221145877451062,5,0.6989700043360189
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4025296,2-Ethyl-2-hexenal,645-62-5,C8H14O,126.104465,4,357,1.0,Inactive,0.6749374055726937,0.669581160659657,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4040002,Monobutyl phthalate,131-70-4,C12H14O4,222.089209,11,682,2.0,Inactive,-0.10018239800134465,-0.09938735914997858,0.4521309432785735,-0.3447357693751969
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4052269,Triphenylstibine,603-36-1,C18H15Sb,352.021190,42,207,20.0,Active,-2.1785938145546666,-2.161304682347095,8.577565820810833,0.9333640593432225
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020368,Cytembena,21739-91-3,C11H8BrNaO4,305.950366,218,444,49.0,Active,-1.415268599884324,-1.40403715060307,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020607,Di(2-ethylhexyl) phthalate,117-81-7,C24H38O4,390.277010,77,775,10.0,Inactive,0.8335787589676069,0.8269635499860464,1.0810844956939967,0.03385963898528213
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5025021,Dicyclohexyl phthalate,84-61-7,C20H26O4,330.183109,165,487,34.0,Inactive,-0.5137377373658041,-0.5096607590865135,11.189911881209404,1.048826666541291
