DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020101,Aroclor 1260,11096-82-5,, ,32,234,14.0,Inactive,0.037514738476859266,0.0018757369238429633,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020072,4-Biphenylamine hydrochloride,2113-61-3,C12H12ClN,205.065827,23,328,7.0,Inactive,4.815478745403389,0.24077393727016946,22.63742446760361,1.354827014250544
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020105,Sodium L-ascorbate,134-03-2,C6H7NaO6,198.014032,14,620,2.0,Inactive,2.189120094565804e-9,1.094560047282902E-10,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020020,Actarit,18699-02-0,C10H11NO3,193.073893,0,316,0.0,Inactive,1.2332528674015169,0.06166264337007584,12.394914619249164,1.093243539533315
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020022,Acifluorfen,50594-66-6,C14H7ClF3NO5,360.996485,48,680,7.0,Inactive,0.40916045646635957,0.02045802282331798,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020074,Gabapentin,60142-96-3,C9H17NO2,171.125929,0,234,0.0,Inactive,1.2005708846856002e-10,6.002854423428001E-12,24.999999999999993,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020076,Amitrole,61-82-5,C2H4N4,84.043596,2,385,1.0,Inactive,2.0689709990522347e-10,1.0344854995261174E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020024,Acrolein diethylacetal,3054-95-3,C7H14O2,130.099380,0,234,0.0,Inactive,1.3803377599740885e-10,6.901688799870443E-12,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020070,Aminocaproic acid,60-32-2,C6H13NO2,131.094629,3,234,1.0,Inactive,26.319454019992342,1.3159727009996172,0.00017052632122068262,-3.768208576914076
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020236,Calcium lactate,814-80-2,C6H10CaO6,218.010329,4,318,1.0,Inactive,1.2014411884979335,0.06007205942489667,1.1774102979618155,0.07092782995452039
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020107,Aspartame,22839-47-0,C14H18N2O5,294.121572,2,409,0.0,Inactive,1.4451781551261502e-11,7.225890775630751E-13,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020238,Camostat mesylate,59721-29-8,C21H26N4O8S,494.147135,1,234,0.0,Inactive,0.3183177066552339,0.015915885332761694,24.999999999999993,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020280,1-Chloro-2-nitrobenzene,88-73-3,C6H4ClNO2,156.993056,0,321,0.0,Inactive,3.09833162618206e-10,1.54916581309103E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020151,Benzyl acetate,140-11-4,C9H10O2,150.068080,12,355,3.0,Inactive,3.640256042062994e-10,1.820128021031497E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020288,4-Chloro-2-methylaniline hydrochloride,3165-93-3,C7H9Cl2N,177.011205,19,321,6.0,Inactive,0.6996319170687775,0.03498159585343887,0.006691655790909739,-2.1744664066147807
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020311,Monuron,150-68-5,C9H11ClN2O,198.055991,16,598,3.0,Inactive,1.154839770110599,0.05774198850552995,0.003075515588066205,-2.512082067439134
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020153,Benzyl chloride,100-44-7,C7H7Cl,126.023628,0,234,0.0,Inactive,1.2196688627528527,0.06098344313764263,8.929131153035797,0.9508092020240623
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020155,Benzyl isothiocyanate,622-78-6,C8H7NS,149.029920,44,234,19.0,Inactive,3.308342348230429e-9,1.6541711741152147E-10,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020157,Benzylhydrazine dihydrochloride,20570-96-1,C7H12Cl2N2,194.037754,13,234,6.0,Inactive,19.502220538126142,0.9751110269063071,27.695661331222638,1.4424117399131617
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020232,Caffeine,58-08-2,C8H10N4O2,194.080376,49,652,8.0,Inactive,4.7002245038245884e-12,2.350112251912294E-13,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365,Cyclosporin A,59865-13-3,C62H111N11O12,1201.841368,166,472,35.0,Inactive,3.542425592103657e-11,1.7712127960518284E-12,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020361,Cyclohexylamine hydrochloride,4998-76-9,C6H14ClN,135.081477,3,316,1.0,Inactive,0.5753432355946468,0.02876716177973234,0.0042499547673438285,-2.3716156921608684
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020315,Trichloronitromethane,76-06-2,CCl3NO2,162.899461,0,234,0.0,Inactive,9.5739520093047e-10,4.7869760046523496E-11,44.99999999999999,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020319,Chlorothalonil,1897-45-6,C8Cl4N2,263.881559,341,737,46.0,Inactive
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020363,Cyclopentanone oxime,1192-28-5,C5H9NO,99.068414,5,234,2.0,Inactive,1.867479708762212e-11,9.33739854381106E-13,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020444,"2,4-D isooctyl ester",25168-26-7,, ,0,234,0.0,Inactive,1.396207628777952,0.06981038143889759,85.37986323630363,1.9313554548042335
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020448,"1,2-Dichloropropane",78-87-5,C3H6Cl2,111.984656,0,234,0.0,Inactive,0.534314453802091,0.026715722690104547,0.0020504961099127904,-2.6881410502950587
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020494,Dimethyl methylphosphonate,756-79-6,C3H9O3P,124.028931,2,356,1.0,Inactive,4.734622520476984e-10,2.3673112602384918E-11,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020446,Diuron,330-54-1,C9H10Cl2N2O,232.017018,86,701,12.0,Inactive,0.4919240221674731,0.024596201108373655,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020282,"4-Chloro-1,3-diaminobenzene",5131-60-2,C6H7ClN2,142.029776,10,318,3.0,Inactive,1.3374457420267185,0.06687228710133593,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,183,438,42.0,Inactive,0.34859714495238225,0.017429857247619113,0.00010000012836692486,-3.9999994425098864
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020286,3-Chloro-4-methylaniline,95-74-9,C7H8ClN,141.034527,9,357,3.0,Inactive,1.0997044703134756e-10,5.4985223515673784E-12,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020367,l-Cysteine hydrochloride,52-89-1,C3H8ClNO2S,156.996427,0,234,0.0,Inactive,0.5506219159746681,0.027531095798733408,0.0015023662419386748,-2.8232241835340792
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,C8H6Cl2O3,219.969400,25,666,4.0,Inactive,0.3177339204626738,0.015886696023133688,0.005401644175694503,-2.2674740276313665
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020498,Dimethyl terephthalate,120-61-6,C10H10O4,194.057909,25,570,4.0,Inactive,0.402065950837023,0.02010329754185115,0.00010000000254216287,-3.999999988959527
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020369,Dacarbazine,4342-03-4,C6H10N6O,182.091609,4,234,2.0,Inactive,1.276701224277392e-10,6.3835061213869594E-12,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020440,Dichlorprop,120-36-5,C9H8Cl2O3,233.985050,10,654,2.0,Inactive,0.5972690078893268,0.02986345039446634,0.10648702250710598,-0.9727033161404515
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020523,"2,4-Dinitrophenol",51-28-5,C6H4N2O5,184.012021,129,572,23.0,Inactive,1.4456938787412708e-10,7.228469393706354E-12,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,C7H6N2O4,182.032757,21,601,3.0,Active,97.37488279369192,4.868744139684596,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020527,Dinitrosopiperazine,140-79-4,C4H8N4O2,144.064726,0,234,0.0,Inactive,5.5175449308179547e-11,2.7587724654089775E-12,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573,17beta-Estradiol,50-28-2,C18H24O2,272.177630,188,657,29.0,Active,93.70373358388846,4.685186679194423,1.7145284544611503,0.2341446970992094
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,106-87-6,C8H12O2,140.083730,10,579,2.0,Inactive,0.9322904620402483,0.04661452310201242,0.0003596713008887937,-3.4440942142884707
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,C22H42O4,370.308310,6,582,1.0,Inactive,3.5609178346191173,0.17804589173095586,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020575,Estragole,140-67-0,C10H12O,148.088815,3,345,1.0,Inactive,0.625761205706049,0.03128806028530245,0.006396783062285257,-2.1940383775066037
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020577,Ethionamide,536-33-4,C8H10N2S,166.056470,3,321,1.0,Inactive,0.5015561912319134,0.025077809561595672,0.00010000009727367497,-3.999999577546003
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020602,Ethylene urea,120-93-4,C3H6N2O,86.048013,0,234,0.0,Inactive,7.088411855528108e-11,3.544205927764054E-12,44.999999999999986,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020650,Gallic acid,149-91-7,C7H6O5,170.021523,35,234,15.0,Inactive,1.1619040311297972,0.05809520155648986,0.008769685583216245,-2.057015976978544
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020652,Gemfibrozil,25812-30-0,C15H22O3,250.156895,18,379,5.0,Inactive,1.9836118370240778,0.0991805918512039,0.6165349548159309,-0.21004229578629066
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020656,Gibberellic acid,77-06-5,C19H22O6,346.141638,1,345,0.0,Inactive,0.6327210889403589,0.03163605444701795,2.1757101615474728,0.33760104009577735
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020789,Magnesium chloride hexahydrate,7791-18-6,Cl2H12MgO6,201.986135,4,234,2.0,Inactive,1.968315932424136e-9,9.84157966212068E-11,44.99999999999998,1.6532125137753435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020810,6-Mercaptopurine,50-44-2,C5H4N4S,152.015667,53,234,23.0,Inactive,2.3015844419113846e-12,1.1507922209556923E-13,24.999999999999996,1.3979400086720375
