model	dr_method	representation	assay	z	mcc_avg	rank	average silhouette score	average train-test distance
mlp	none	maccs	ACEA_AR_agonist_80hr	0.1465504412217185	0.1455102204869559	1.0	-0.0007045791437947751	0.931516934604464
tabpfn	mrmr	physchem	ACEA_AR_antagonist_80hr	0.5024638818367774	0.4640526638563877	1.0	-0.0007025181193506273	0.9315502293565489
svm	mrmr	embeddings	ACEA_ER_80hr	0.13738649841992	0.1365285827784993	1.0	-0.0004028064884324614	0.934028497592276
rf	none	physchem	ATG_ERE_CIS	0.3258021239408833	0.3147437703067577	1.0	-0.0003357215574876887	0.9345043520847753
svm	pca	physchem	ATG_ERRg_TRANS	0.2245579392608362	0.2208580111911335	1.0	-0.00034204030296463965	0.9347786473047573
rf	none	physchem	ATG_ERa_TRANS	0.4210034745332488	0.3977754684749087	1.0	-0.00033576475742847856	0.9344131551119471
mlp	mrmr	morgan	ATG_GRE_CIS	0.1289841846515729	0.1282736131168548	1.0	-0.00033596381119655556	0.9346684388170517
rf	MI	maccs	CCTE_Deisenroth_AIME_384WELL_LUC_Active	0.4450621272305725	0.4178316273189723	1.0	-0.0016802048985095023	0.9311751230731768
svm	none	embeddings	CCTE_Deisenroth_AIME_384WELL_LUC_Inactive	0.4305856822655577	0.4058106557094601	1.0	-0.0016807930983207989	0.9310503630894529
svm	mrmr	embeddings	CCTE_Deisenroth_AIME_384WELL_LUC_Shift	0.2959424777074072	0.2875950500431805	1.0	-0.001681021840092194	0.9313007754626028
rf	MI	physchem	CEETOX_H295R_11DCORT	0.3687984866979122	0.3529403142852652	1.0	-0.0021931772656501357	0.9249093204349057
svm	variance	embeddings	CEETOX_H295R_ANDR	0.3335101392646459	0.3216712579431611	1.0	-0.0021933988772613513	0.9250951679909949
rf	mrmr	maccs	CEETOX_H295R_CORTIC	0.1941902883057483	0.1917855907499186	1.0	-0.0021932215181408544	0.9250328506541452
cat_boost	MI	physchem	CEETOX_H295R_CORTISOL	0.3076808040892696	0.2983257702111861	1.0	-0.0021931742803348126	0.925056374500185
rf	none	maccs	CEETOX_H295R_DOC	0.2543695530830822	0.2490216900723983	1.0	-0.002193472566130897	0.9250233226543152
svm	variance	physchem	CEETOX_H295R_ESTRADIOL	0.328232254136573	0.3169314853367844	1.0	-0.002193385390858263	0.9249948210870602
svm	none	physchem	CEETOX_H295R_ESTRONE	0.3435303937683557	0.3306255313352736	1.0	-0.002193971033574522	0.9250245068597016
rf	mrmr	embeddings	CEETOX_H295R_OHPREG	0.2832464640281249	0.275907086842074	1.0	-0.0021932485780683016	0.924933589642559
rf	variance	maccs	CEETOX_H295R_OHPROG	0.3390312742621006	0.3266122824439045	1.0	-0.0021930625866301485	0.9250580886128084
svm	none	embeddings	CEETOX_H295R_PROG	0.313707105632165	0.3038058229884549	1.0	-0.0021932236776495855	0.9247837186082398
