assay	n_molecules	n_matched_pairs_total	n_activity_cliff_pairs	frac_mmp_that_are_cliffs	n_active	cliff_pairs_per_active	frac_actives_in_mmp_series	frac_actives_involved_in_cliff	frac_of_analog_actives_that_are_cliffy
CEETOX_H295R_TESTO	570	109	20	0.1834862385321101	133	0.15037593984962405	0.15789473684210525	0.11278195488721804	0.7142857142857143
CEETOX_H295R_ANDR	570	109	24	0.22018348623853212	163	0.147239263803681	0.15950920245398773	0.10429447852760736	0.6538461538461539
CEETOX_H295R_ESTRONE	570	109	18	0.1651376146788991	89	0.20224719101123595	0.2696629213483146	0.16853932584269662	0.625
CEETOX_H295R_ESTRADIOL	570	109	15	0.13761467889908258	73	0.2054794520547945	0.2054794520547945	0.1643835616438356	0.8
CEETOX_H295R_11DCORT	570	109	17	0.1559633027522936	176	0.09659090909090909	0.14772727272727273	0.05113636363636364	0.34615384615384615
CEETOX_H295R_CORTISOL	570	109	15	0.13761467889908258	121	0.12396694214876033	0.14049586776859505	0.08264462809917356	0.5882352941176471
CEETOX_H295R_DOC	570	109	31	0.28440366972477066	182	0.17032967032967034	0.14285714285714285	0.0989010989010989	0.6923076923076923
CEETOX_H295R_CORTIC	570	109	20	0.1834862385321101	109	0.1834862385321101	0.1743119266055046	0.11926605504587157	0.6842105263157895
CEETOX_H295R_PROG	570	109	32	0.29357798165137616	220	0.14545454545454545	0.1590909090909091	0.1	0.6285714285714286
CEETOX_H295R_OHPROG	570	109	32	0.29357798165137616	240	0.13333333333333333	0.2	0.0875	0.4375
CEETOX_H295R_OHPREG	570	109	22	0.2018348623853211	148	0.14864864864864866	0.16216216216216217	0.08783783783783784	0.5416666666666666
TOX21_ERa_LUC_VM7_Agonist	7927	10598	1717	0.16201170032081524	962	1.7848232848232848	0.35135135135135137	0.27754677754677753	0.7899408284023669
TOX21_AR_BLA_Agonist_ratio	7927	10598	343	0.03236459709379128	433	0.792147806004619	0.3002309468822171	0.15935334872979215	0.5307692307692308
TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2	7927	10598	437	0.04123419513115682	812	0.5381773399014779	0.1896551724137931	0.13054187192118227	0.6883116883116883
ATG_ERRg_TRANS	3725	4554	2	0.0004391743522178305	7	0.2857142857142857	0.14285714285714285	0.14285714285714285	1.0
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Agonist	1904	1398	151	0.10801144492131616	142	1.0633802816901408	0.31690140845070425	0.24647887323943662	0.7777777777777778
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Agonist	1904	1398	145	0.10371959942775394	154	0.9415584415584416	0.2987012987012987	0.23376623376623376	0.782608695652174
ATG_ERa_TRANS	3725	4554	972	0.2134387351778656	687	1.4148471615720524	0.38573508005822416	0.264919941775837	0.6867924528301886
TOX21_AR_BLA_Antagonist_ratio	7927	10598	1342	0.1266276655972825	1447	0.9274360746371804	0.27297857636489287	0.1713890808569454	0.6278481012658228
OT_ER_ERaERb_1440	1802	1312	177	0.13490853658536586	253	0.6996047430830039	0.36363636363636365	0.20948616600790515	0.5760869565217391
OT_AR_ARSRC1_0480	1802	1312	146	0.11128048780487805	268	0.5447761194029851	0.23880597014925373	0.14925373134328357	0.625
CCTE_Deisenroth_AIME_384WELL_LUC_Shift	744	258	26	0.10077519379844961	104	0.25	0.23076923076923078	0.1346153846153846	0.5833333333333334
TOX21_ERa_BLA_Antagonist_ratio	4819	4211	436	0.10353835193540727	606	0.7194719471947195	0.19471947194719472	0.13366336633663367	0.6864406779661016
OT_ERa_GFPERaERE_0120	1802	1312	61	0.04649390243902439	173	0.35260115606936415	0.2832369942196532	0.16184971098265896	0.5714285714285714
NVS_NR_mERa	936	303	68	0.22442244224422442	132	0.5151515151515151	0.29545454545454547	0.19696969696969696	0.6666666666666666
ATG_GRE_CIS	3725	4554	135	0.029644268774703556	120	1.125	0.2	0.18333333333333332	0.9166666666666666
