compound	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
DTXSID9046499	-0.5510497278065104	5.546691909922006	-0.1763586517065358	1.8336485159112437	1.108783281816177	2.1444094596242738	-0.9355573632862358	-2.549981043337637	-4.6441968987325	-1.4240316637859392	0.13277582621491718	-1.353237669642412	-0.6834550298561415	4.819167091835837	1.0226489033276833	1.1086554922530958	-1.5232272000999847	-0.08052311006401855	-0.2244040647514039	0.3553262152729357	-1.6152693171774042	1.0246423225243655	0.310073878938243	0.6259245738688038	-0.6053616663222918	0.0771737422569413	1.0128629168740837	1.4134328287314442	-1.5531547162627402	-0.25845994853858884	1.2003700524501248	-0.04330358200641524	-1.1938215178467375	-0.30544422971506957	-1.7236864512785721	-0.8922801263062506	0.43760851754915286	-1.741377114953138	-0.3892400012307186	0.03477028687691361	-0.18566747467139363	0.35755909793423907	1.5821884366959154	0.39280370714754687	-1.7149316829734866	0.4623439889689984	-1.0957581622805173	-0.42511945277511964	-0.70795584677318	0.01865349171910486	1.2948136912246093	-0.08854323532239376	0.6471541163831231	1.0700959819021891	-1.8387088681040293	-0.958321524198024	-0.181373092020598	0.8954405848953196	1.04778017943301	0.4362235909187762	0.0005460683649413347	-1.0487169861764567	-1.4845998437605905	0.17223226068127145	0.05017973542745691	-0.4106370872972417	-0.5421770621404168	0.13329686139173103	0.24794544732464335	0.7169358697701915	-1.4915753460233627	0.14746623904206635	-1.4315291242051844	0.21931448284808958	-1.3996265163658441	-0.4482949204228342	-0.4074839894222999	-0.3351253155497843	-0.7076641729044778	1.2406789620709875	0.891635403066689	0.9000737036566185	0.752255032900959	2.099724119972748	-0.9081485201533807	1.1286945685326601	-0.5862990210082654	-0.1883804911657658	-0.965651074400519	-0.6816432422650975	-0.765421109105197	-0.0694353735066961	-0.6389918915910402	-0.08399958134419097	0.23872976402025975	-0.487311999661943	0.6687512099717078	-0.6633471535207985	-0.5329677598435997	-0.39236436535857344
DTXSID3049386	2.7004257812179073	3.330355465867115	0.43575815842736365	3.270814400073664	-6.263482335096974	1.5449036289243552	2.3852881633002876	0.7099040674219463	-2.0824965366011075	-1.4417526633586386	-0.3573680655053377	0.9589081564506341	-3.163883404556648	2.739272946116273	1.216360829645978	6.019004913598389	0.636429824105218	2.3521234859060236	-4.9169782247604825	1.0648527062963822	3.471531106973007	-1.8834616956040044	-2.184325620462506	2.1438482708526627	1.2955377104208432	3.799837078753083	0.6076618840165339	1.4505464935941683	4.666430184512978	-1.1848785475998693	-1.9807636366374188	-0.6438824286516948	-3.415496748780219	5.584714570283433	-3.402606349757058	-1.570990910392026	-3.291916228149192	-5.666096634016723	1.2918626725354398	0.38655562248859215	1.5042757571909025	-0.7678007157176057	1.359302802066797	-0.14770546515011476	-1.9082497873510458	0.8903877337622573	2.5302963686580977	5.287849800867695	-1.7352876767607677	-6.171968278538614	-3.2493217781057835	2.498857236478121	6.801057789602265	1.2188467250244073	-1.2294992327963696	1.4391230185300958	1.0948155354690619	1.6264815606166931	1.9668054299343796	4.503894811700991	0.427719297188612	4.009266678165751	-1.7060186793196113	-0.9393419361259872	-1.3452167567003317	-0.24999406502427365	-0.39574849297355386	1.4730055840940408	0.140538845456812	-1.4523635963445638	0.014376632258473965	1.3965727488748172	0.8382262054692198	2.869302797974109	1.6796149500926965	2.430116420765555	0.9403828366131939	2.9924692180881207	-1.0277947807969239	-0.814597258785586	-0.39189853838977556	-0.016704598135793187	0.9581435420737207	-0.33514909618418587	-1.1353731966284932	1.3069956565603873	-1.7509227261604856	0.49954966830052316	1.5689807096569306	0.27989839077543677	-1.6277338785515882	0.2894420534098158	0.18326467120670903	-3.077220676809275	1.4016685785622363	-1.267176023829168	-0.8009173058468826	0.7945907523654269	-0.5080600830355092	0.2772327325465124
DTXSID1048625	3.7992599074996627	4.450828718248533	0.9438298532905814	-0.3128262232774614	-2.3061043661256297	0.39404429259828644	-2.6413223575558984	-0.39936261459602795	0.01315721169094982	-0.32465328477659827	0.5577026435403519	-0.5732360614101839	-2.202343843877265	4.787926277030646	2.6651062442652758	2.022676349209338	-0.09299491040286532	-0.5771554959975946	2.843903042660193	-1.3998069081820357	-2.1744631813282282	-0.3584445388834418	0.7532972867867743	2.1695066037254955	-2.032307009066222	3.42865431095403	2.0517743768847514	1.4309923552736228	0.6685829722505247	-1.062228771557135	-1.6647443892251677	-0.3531776030516603	-0.7358146962973495	-0.795832118911332	1.0687579332442676	2.5359894549844753	-0.5744133068209569	-0.16226305590974882	1.4741582092221521	-0.5876369407080942	2.377467206006938	1.2083987249574693	-1.6056653960275866	-0.4874188165253201	-1.8454126959492567	-1.030529424362335	-1.1261838443572603	-0.9866446534212325	-0.22325961844040387	1.3256659670374622	-0.3386614890024366	-0.5876285811573607	0.7911960143664613	-4.346992645456755	0.6271432679631936	0.4813395773071732	2.0306043805661673	0.24949881040143168	1.3303973694702533	0.4234178493138629	-0.09486459602518135	-0.16345877305929912	0.4545027175404683	0.7859012080697435	0.15349683928634703	0.5677986746557546	0.5755174988795623	-2.3710291030464723	0.26433682120479657	0.24156505902673076	-2.3299317317796278	0.2429611849592238	-1.1954408079720915	2.6607328496748908	-0.05829841621218659	1.2717222504441177	-0.20315145000781704	0.9991870344547787	1.502393563241155	-0.18247263920647233	0.10747828526704019	-1.2827118975113794	1.7975385338743333	-0.692873721721134	0.799745726805704	1.044154471655289	0.2116933881595667	0.7894909711093034	-0.46921020641050576	0.06990210226755421	1.7978978109888628	0.0024776693932531133	0.6637967559290582	0.807984104177245	-0.9240379340750786	0.13176154579628857	0.7003932394911169	-0.30899391889496874	0.2268525115603094	0.744120975198398
DTXSID3045568	2.741212951502597	2.751064336068365	-2.974583329211642	0.2618664161474452	1.200356830233402	-0.4289313179366867	-0.7719582908744281	-3.1664709782333516	-0.9184451277751453	-1.6682815927758756	-1.109741844748546	0.3173169905997063	-1.2941248163218233	3.3907591789357556	-1.9003778509680467	2.792712461076321	-0.43135803708570014	-0.9305516272513095	0.0511697238958356	-1.1216216901628497	0.532493181843901	0.38047523653708526	-0.2112669678639111	-1.4444325217057765	0.26454637503786543	-1.0230891533731938	0.1814683371127338	-0.22701885844830794	-1.9482122700028965	-0.6071917355144985	1.8831441928316326	-0.6147723274494686	-0.30478940429286394	1.0429005113058742	-0.4301041482390354	-0.38888020126858436	0.3326615596543578	-0.945330511202478	0.18679835929522637	-0.6878391320189245	-1.4337124862968766	2.0608323088089553	0.3512870560539898	-0.19245933444477578	-0.8940524847130915	0.009527636098847152	0.44764503160617625	0.26836950750730826	0.5334555065856547	0.026532995063918714	2.297756796533476	1.1743074321986875	0.7488833756287523	-0.45934082969873763	-1.7590088054244724	-1.6630344449955432	0.24643625644680603	0.3084677591561643	0.9258148927081089	-0.04167570599312544	2.0898203583171657	-1.9936580925068907	-0.9741909851698444	0.2142497798799436	-0.7982412634089217	-1.0469868208562134	-0.7663782439503957	0.42691756430843614	-1.860395157156071	0.4755168200179341	-0.2936356968958262	-0.8681626325201791	-0.1343198539848458	0.7184360242157665	-0.8928864473145423	0.32555175397913366	0.6972564628919222	0.8041875712176062	-0.24524742045240924	2.1611037423256234	-0.5654951283296829	0.6117498320914305	2.365427370667257	0.022861224272004224	-0.2316094495495318	0.6668528626153255	-1.7086875010782365	-1.2118745042860444	0.666917966382279	1.0562172023088983	-1.5337632335373799	0.3914731588185919	0.24298633439891135	0.7805220787908258	0.904967760484669	0.7334633910033974	1.7233047964089538	0.6588474767687418	0.1671638549626021	-0.2561825998511139
DTXSID6026298	-1.9108655624904574	-4.388917193889101	-1.183828327713976	-0.6217250191504039	-2.2312621811095843	0.39014753672089514	1.1123486160297158	0.9133002278299207	0.04072723415148063	-1.0620617993590393	-0.8912289313083046	0.15888195769273522	-0.11788050153079656	-0.1882216606774545	0.8283713165788642	0.04521379692686333	0.7502911106590363	-0.0704521908065134	-0.5045056890650977	0.5102378909564664	-0.6488137130171584	0.22839910227097338	0.16945339611877222	0.09733445756173616	-0.5263499038374023	0.4691472762163129	-0.8201059803264156	0.4073153980020298	-0.18178113884591038	0.8320055814913192	-0.335962886158405	-0.24570597141337192	-0.17341043506570267	-0.6985705644067604	0.3256148238417713	-0.1596562936028139	-0.24697537553156734	0.020933192010331357	-0.06355583343283683	0.05776200402969529	0.4288606717118543	-0.8515401871203298	-0.9719688850744004	-0.27433919485231945	-0.6060292693169688	0.3817314140796578	1.1781551474777532	0.10704851226829727	-0.03399821528637269	-0.18043622872959747	0.17662519868585266	-0.005868933552388724	0.31495576441584344	0.03552740879578691	0.5000476314963522	0.31392710151813746	-0.2825246882323645	-0.023003915875506188	0.08669931562060787	-0.923898548087798	-0.1417361128813495	0.4215932666406147	0.0985314874005526	0.37652221437108935	-0.05623342363917739	0.29341203646385244	0.8031559086107816	-0.14944892013936922	0.3964501071273272	0.41671268254794575	-0.691522876269954	0.2008307615782429	0.5437231503178163	-0.41918444153536005	-0.11310080511777766	-0.050083750321265205	0.22997129358500992	0.1694839024276499	0.520493337511738	0.0990793513234085	-0.1340591841143054	-0.3197601412679418	0.22963402191689783	-0.15760882310076987	-0.21607532801057508	-0.2545241292262692	0.15698221096464546	0.39743003921648296	-0.862160212220567	0.06596824532494998	-0.04905794601115039	0.1735370838101323	0.1089625816055516	-0.14344150594472638	0.6815605845807773	-0.5663225551604156	0.23786233901618473	0.09676759351303697	0.03806938423148985	0.12476252673596365
DTXSID3047847	0.11068013895785486	5.72786758537126	-1.9690802562456506	-0.24760456065529685	0.33431855485352924	-0.4166298775549246	0.0482689356285839	-3.0103208256078715	-1.1705803558907852	-1.5662493058750442	-0.388315087416075	-2.2118591166782133	-1.9126909237546859	1.7708079980294515	1.70430183660565	1.5552607069292264	-0.486570160034851	1.060075142874788	-0.29400830292004027	-1.5846280576500114	-2.4101341965261596	-1.3745650690008708	0.5588365786774895	-1.6451435866200863	0.19016053624784374	-0.5754643496894479	1.6302710848572768	-1.2970222313719773	1.712043834783827	-0.4677535188872513	0.2953316334923288	-1.5337105483386877	-0.9009202264581951	-1.9375387367969186	-0.07455149926760342	0.7631978124796194	-1.6902573679126558	-0.47423892062672435	-0.6265785634944386	-0.5638121596037224	-1.6286257479869732	4.268582111916825	3.3018280039577257	-0.26315654881881506	-1.78739967710662	1.269015488844308	0.15746495424610102	0.4517894171130338	-1.5293628283510634	-0.05147084895623371	1.3891415009021075	0.02761254431600411	2.0164318165178536	-0.5477783021806012	-1.5795220773336232	-0.7931060461354618	0.8886091539520387	0.1481033087902479	-0.35366501895245267	1.2844098513204816	-1.397822842796191	0.1481010783342553	-0.949897084178045	0.7253641935349215	-1.6819759492474342	1.084803142987514	-0.26900361680764406	0.46446754794115985	-1.6519637791340613	-0.43465715544455946	-1.6777191854373665	-0.6712581684547455	1.353143281804874	0.26729269713567605	-0.9485262141857029	0.24422493031638576	-1.4107934509417435	-0.5596776201441381	-1.3074985836840756	1.2998756516376024	0.06781489172017575	0.8889774012630762	1.008017794189703	1.1249153905266323	-0.4393133740066055	0.31006648716557506	-0.4023037014588354	0.19393545209556817	0.9378544094142381	0.9025200043627897	-0.7928458001169637	0.11359196427168827	-0.7991863360139034	1.711312577033233	0.7779340868731127	-0.6968496154640388	0.08086117905674466	-0.14965024465430002	0.2689770120076004	-0.8312197275989415
DTXSID5020863	-1.4360410826754346	0.4032047593604565	-1.0146005946559233	-0.26372033793148864	2.0358513289923055	-1.4296401290472032	-3.4701457628087846	-1.8416615523258217	1.6151937094377622	1.8368730185993103	1.3756018678191526	-2.871634974909752	0.9384594261357586	2.8784130575455307	-2.798301434578395	1.187241978574414	-1.5248641190087096	-1.1484429176963702	-0.030904066841875404	1.3914635908887756	0.5468365199471141	-0.32132995892742644	0.31616431342308005	-0.5192464124262114	0.8799797562912167	3.2216886649444323	-0.09695460125070311	-1.7492252384686688	-1.768677417428278	0.5758082411970774	-0.097754484833977	-0.09053972507488635	0.21104365290688737	0.036694513051677674	-0.07166434621183691	0.34078937564538386	-1.2097555074771285	-0.5937788156969867	-1.2101702045789937	0.561361499810348	0.36516155275497414	0.7878255440324	0.07988809825629836	-0.5153749656480101	-0.6559514153278113	0.7712911165983706	-0.4988270535656238	-1.925710542254913	-2.257788378482251	1.4687915744715854	0.8703290953796026	2.2523193713707452	1.9490352168502272	-0.6138511635498454	0.8045294341949834	0.7847967426072682	1.498260862979461	-0.30800772755796324	1.852752452487332	1.0337739777391166	-1.4751508237510704	-0.6859697292389583	0.6075066055141416	-0.044187184668047746	-0.32581353152968195	0.24370389214501664	-1.286720258338316	-0.32417157598090673	-0.457164918522192	0.06953348998581904	-0.49545125896104625	0.7424296155971385	-0.6096416434458679	0.4506223228030331	-0.39250961259674483	1.0231566429506005	-0.6205173538886677	-0.060641135341755664	0.7481351892006733	0.7028851229386145	0.42849290178656635	-0.3147925349960326	0.40427632704489075	0.5695601713904228	0.8521806878763493	-0.05430407490019736	-1.4738101024664092	-0.8438175206651095	-0.9339497335707861	-0.5660269957580139	0.3401339660653826	-0.38174846676220797	0.5936923624091642	0.3021151148722311	-0.09939530251096933	0.07103055312433199	-0.13727797609096354	0.038926228749617695	0.46290755981742243	-0.44924015883307494
DTXSID3024449	1.2913044345925355	-2.6573458296105894	1.1654427216514402	-2.5619601925115747	-7.2588589119296145	-1.7799034948955472	-2.1607317103595913	-1.5839303263588673	-0.015593129162538978	1.224813803710062	0.9214374183156347	0.2920626415451573	2.262983092079447	-2.521445828023427	-0.983387802560626	-0.39539859063879446	0.7272321938811552	-2.819440875341543	-1.3203608926520645	-0.804695716152074	-1.3005348363066245	0.9524632685751486	-1.3258141240990866	-0.5346778779482113	1.3859986451347996	-0.5092769021043329	1.385807335203942	-1.0610986681928951	1.7835923431965397	0.01718007562687559	0.19392772897210644	-1.3904298072123078	0.3181486312388273	-0.6327128697326478	3.4560445035197875	2.142569704107902	0.09907802579709121	1.141515709415486	-1.6032156750412851	0.4796952801660672	-2.107949328962495	1.845556786925515	3.3898425814140816	-0.24998150388935209	0.4870387797455679	0.3189960639549693	-1.8954574148356615	3.056711607500835	-1.4161770936200082	1.5048760909994476	-0.8646139386416886	0.9827297446197727	0.5094836123601485	-0.5031854428903654	-0.5425532396655294	0.8369924079841707	-1.382292206800914	1.1246126147109206	0.613845837183133	-0.6906977823081495	-0.6211971179214497	-1.2165991306258321	-2.72939844531738	1.357030753385123	0.29581969016530746	0.32666404085510237	1.614280457011849	0.17650310786025977	0.1110284239167473	-1.8813449327746512	-0.7671871742646649	1.2997784219171051	-0.6517079786694937	-0.3176581891022116	1.783000875401009	-0.3148266578721309	-1.2580247556351218	1.1167058842922575	0.7339847153574197	-0.37736661761759677	-0.058764592873071494	0.316083448724431	0.6725853269066183	0.49892896197113135	-0.6988788856517606	0.4886408952597917	-0.374223075693876	0.06761736829580137	-0.1849749951723421	-0.7690878289896158	-1.1649542470261158	2.295782970972715	-0.06763640793021793	-0.35702536658454304	0.5031625731900935	-0.6169816101310148	0.5042701951851422	0.38679949342863795	0.7224976634955156	-1.151041514936298
DTXSID1046895	5.126966282893251	2.869950708516954	-3.9704077694412048	-1.2627158990715184	-1.638562427643017	-2.467273080779097	-2.2391411353253208	-0.07126858559447563	-1.0462212605894285	-1.353051377980514	-2.3404483686185467	-1.3219688342417357	1.6770213524943665	-3.0757691850790043	-0.15283326438204956	0.19814773810296155	2.5080746081385192	3.926573568854608	-0.03123533146864627	-3.5264344120527205	2.987034623881205	3.641016926192021	-1.430691902966677	2.242039310293392	-2.506124395579557	-0.8746659071079308	2.9850129838149995	-2.672923460915357	-0.42059719582728045	1.8271401733738524	-0.5620018543914034	-3.295576109972178	2.2420471885726565	2.6365009305665743	3.50601668597933	0.11869910012784994	0.1310569706990148	2.479914119007231	-1.0785371476156325	1.4034557028420058	-1.2802990130131249	1.0390103459702908	-0.7505555267836002	0.014360037223041185	-1.2680332813215585	0.9804202866739989	1.4629179941321955	-1.5143952386660031	-1.6061830182965156	-0.9757954309889095	0.5002864034913916	0.44517244792462723	1.2679050375774885	-0.5004594929293498	-1.1643658268186836	-1.9672848805968297	-1.5925166603370637	0.024039083977699216	-1.8675611828208816	-0.0892650486590282	-0.9012442509004771	1.4636509270795626	-0.025559995753011322	-0.48844811394483606	0.5389808980217229	-4.277967086304806	1.06673276828173	-0.7037806587015659	-1.6564367775275513	-0.42876714724912457	0.9327811037658134	0.37820613676915193	-0.23898985681397797	-0.4463163497666339	0.18416212358949288	1.2624760859065354	-0.934664065667913	-0.3162774032720559	2.347354650530643	-0.7699200787710595	-1.037210413174944	-2.235163208183863	-2.239835841830832	-0.5855454080680693	-1.1104703165358167	0.9534419015487265	-0.3225121787916947	-1.6707131084798281	-0.7560819599695162	0.28890052775608666	-1.2255384411272716	-2.0869159283871097	-0.04268436146069134	1.3400611106593665	0.6061489622017617	-0.0565198990248995	0.6033589285285544	-0.029824237935397808	-2.1931723661877047	0.9697389308913756
DTXSID9021554	-5.269843862869377	0.7772953601546045	0.8171276860936438	2.0915256050813116	-4.124976518064738	-0.911231349258723	0.11931018355898021	-0.5371208568082385	-0.2987597049998251	-1.8136226881227395	2.800752335469056	0.18440124286774207	-0.006249913918538697	-2.353620210332	-0.7939769684395871	-0.4355010674731265	-0.32041192829780685	-0.8110134710145782	0.6959385499007464	-1.1662617811760918	-0.4774833100272323	-0.030559589851657003	-1.5435675062233951	0.9156908162886025	0.5608432062249528	0.5919095750793268	0.15746736288447374	-0.1532002264591413	-2.1082014265635687	-0.3211966782332322	-0.1488406356680313	0.27585331147095205	0.38166941356771467	-0.4037262962552167	-0.8807387267352688	0.15108665424380785	0.7506318166015574	-1.0369867541352364	0.10876939345151442	0.3792451848706602	-0.1753202615822933	-0.5096371657273027	-0.6845124221224932	-0.06897064316717628	0.49547304842025874	-1.0496759474825683	-0.5831548077205229	-0.29234922508089173	0.27884388212776645	0.12277156050772968	0.3084864274669656	1.610260127932229	0.6384040785652692	0.08223165422986951	0.40196986656626704	-0.42363870256200437	1.397957018281409	0.03515278217378417	-0.30873616444698554	0.4099371129099503	0.3838430262161522	-0.05214297124926456	1.210018917863166	-1.0275403638085214	-0.4478117683841965	-0.5604400525837744	-0.07943786341754358	0.30494934270185803	-0.090779520912349	0.1862005804651126	0.49774021037957833	0.733344858794145	0.20838309067486904	0.7385802032765899	-0.5183651447359167	-0.08698492302732674	0.118450948302585	0.5744522704762003	0.26955983310751996	-0.371503428552362	-0.3904866991555887	-0.8598916675689352	0.07982478166786594	-0.5043449012286982	0.777897311954865	0.15024968878125863	0.0020343086012196824	-0.5162846250001829	-0.32980961250123947	-0.8682202779982445	-0.037347812629672274	0.6481924324160098	-0.34270121897111033	0.2985958253293398	0.7813764016974779	0.23040661241056143	0.09268957971341903	0.41527560809700537	0.12216958074653501	0.4766325883726331
