compound	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
DTXSID0020319	4.240426438188778	11.307891789138305	-8.317185418581992	-20.127953029139114	-0.830172124164494	-0.7929453384850249	0.14730371438949658	1.143979310933252	0.44933796487515626	-0.5133847596416922	-4.034558260432839	2.2169936614416006	1.4262870037224635	2.5130041888294015	-2.4330671220722984	2.6061100240822643	3.772959362724629	-1.8878564696038056	1.4115186495206784	-0.012406127064119053	0.09285943781912434	0.495385252824017	-0.46452720816435544	1.333761539055316	4.032931237591818	0.5855003827018058	1.5589979823685745	-0.6134740518289188	-0.034766170647021644	-0.5236061081106408	0.3566684980338723	-1.4868474930580113	0.49131836822779157	0.32988358917383925	-2.3201606091130373	-0.71261293065025	0.4905427583126307	-1.0272047038760261	-0.12065008849102563	0.9060970506940929	-2.2991430393638064	0.1953212064871025	0.40274678743969206	0.7561211696786141	0.06509483202482987	0.4903307648509385	0.22027038987518807	-0.46440668791306944	-0.575604306239974	1.0141164235077123	0.9495534825931996	-0.1662734467563411	-0.4613593407441709	1.5092846099924702	0.8697246930750443	-0.39728286035959365	0.4309283726463484	1.20207888829472	0.5280339418416311	1.100264109275515	0.4338773306857653	0.7300824005228135	0.917545183385366	1.6390063466237728	0.31651228632099365	-0.09037599946073241	0.35057543674065256	0.5009597388705254	0.7617540021228772	0.5167719262188087	0.4264254245781875	-0.7410353803817556	-0.008890972307070203	1.1297120603781958	0.14952613514877042	-0.14631072602321626	-0.07701205999801988	0.3769669944627613	0.2515609441398231	-0.3813912708087267	0.7854609974170403	0.8216987787956062	-0.6315693050645246	0.8223738224439253	-0.486559795243769	-0.4984795529265903	0.4193709343864794	-0.45374335946541977	0.5636572310407436	-0.10418335255731356	1.290968532888442	0.4938604812153183	-0.6342935296774925	0.3961899121828854	0.23254827569940362	0.952051262668253	-0.39504662536676727	-0.0290832412395166	-0.6376186229619558	-0.1530826788930615
DTXSID0020151	13.859717309823036	-1.9250750371012453	-5.592721275894775	11.178975020165028	5.945249691997073	-4.130377317499896	8.516959941486075	-4.1043324334435045	2.427363412230512	3.6403484143525953	1.710111056610049	-0.1609315806933621	-0.49355691656040424	0.9462715872390863	0.28207437983086425	-1.4109744948067076	-1.2813792174081182	-1.630218199897209	0.2383163670205133	0.1455303661096924	0.9387363483808363	1.4567658593473394	-0.45679825384689476	0.21390732793623476	-0.9294350749605942	0.24895012783174114	0.967855011885577	-0.0679949340126941	0.3268345625085136	1.354307694830331	1.057295063282389	-2.635239302112863	1.3828736920074765	-0.268467492512223	-0.6518996768886653	0.9115933041883494	-0.026353743512656826	-0.5057078081558559	-0.43867928017553826	-0.49675876100740357	-1.6830467586484397	1.0752516843808166	-1.5093141697095764	0.761487182119835	-1.2327868216579765	0.9243319058529635	0.6837671753040904	1.4580819034804446	-0.5963618654027675	0.915130666271141	1.7693379053402492	0.4257456117708219	0.7409311761676955	0.46743215606416794	0.4411317251224826	-1.384671145746924	0.9401311640394783	0.8318492407613625	-0.8344644519044684	2.4015069323201557	-0.5428964184762675	-0.009467933703649827	1.4559749923266814	-0.5117632411871118	0.3839274030400952	-0.5291229254754519	0.8355544886520827	0.38480316924542535	-1.8009251693776664	-0.6575615352935565	-0.7208401679794759	-0.23497704029496427	-0.09932705709963918	1.026035386214873	-0.8071055511835716	-1.535674135668188	-0.436989409068294	1.1638248475983302	-1.0055799139459018	-0.9127661887370595	-1.385141067429434	-0.06813131109977356	-0.07941346824712722	-0.09416405205070094	0.6677540219063371	-0.2808272131132192	2.1341589058909927	0.5622636067266494	-0.3961528927956724	-0.019271333806351855	1.2876330871372623	-0.5584244759940695	-0.7421198748824634	-0.4698543526607369	-0.6965633032640969	-0.18276980276279212	-0.10909246549003464	-0.21961538531117097	1.2280441866838185	1.3740177812870835
DTXSID0020442	4.205298819571156	11.433826364973896	-7.537089221106182	1.970001204474186	-3.092056569667456	-8.361153391105987	6.702146648725945	-2.7877789174304004	2.1314980116834383	0.40576980921707273	-8.351984718369344	-2.388100273387268	1.495652343564694	-2.233331823385243	2.6367007030753236	-0.9493423416247153	-2.491580690009951	1.4327107756449722	-1.11874094728826	3.610188950453136	0.23858079206653696	1.5081201157252013	-0.4892199095487869	1.6676785512817995	2.984979847069175	-1.7938934521452454	-3.309235005324501	-1.0686834498618674	-1.1010928526923598	2.5462378659996796	-1.227820714019534	-0.22025799014178568	-1.1422414065034896	2.2429812380827716	-0.2896585545983496	1.398136084903611	-0.6516744851382598	1.2471081034452354	0.034078590094786525	-1.696746572573963	-0.9292706010108924	0.13695141741026542	-0.47583784520743955	0.08417517057489272	-1.6178323007834654	1.3990733938272544	-1.2205959739087133	-0.9045446588573425	-0.4698791412429308	-0.18329978214708617	-0.5008389889101764	0.3010662888246976	0.00884146486833646	0.33464489295280614	0.8151967186707824	-1.6726502234666287	0.5749077512145226	-0.9156087721400108	2.0026618262674996	-0.7889644887601894	0.008625228562323086	0.41351701779247635	-0.12688125726769647	0.3672744573136276	0.8590496353580651	-0.8935806590342208	-0.6254963764276323	-1.6899902709078756	0.01530429945769764	-1.600685578181894	0.2734796920677869	-0.3069836067088168	0.15479821408900424	0.13256328463324943	0.5015557832748855	-1.3130285214466455	0.661868019466667	-0.05101908306282315	-0.14770644140925643	0.8168896640141063	0.9138139458882392	-0.30519367409560394	0.1321092045241408	0.9941050254083431	1.598678457533343	-1.530434240959944	1.516724272757583	-0.0515894909585215	-0.33852374716388683	0.28073603502584754	-0.5361839135284112	-0.5717103384897855	1.021840105329909	0.6351920683727003	-0.01760996008209776	0.5240277101176907	-0.3092522319147122	-0.12206356225030861	0.10337168192974595	-0.3573579745323416
DTXSID0020440	3.468507600127276	7.740244930518097	-5.799067143418245	9.393789759910575	-1.3295777091237102	-9.52268580314086	5.259999466631182	-4.485107869618446	2.798571060935943	2.3223856379324586	-10.027492369838281	-1.9522978574231937	-0.7996882769405264	-1.9022944208603834	1.9626242057274552	-2.472984751271296	-3.406741596455068	0.8257425132375309	-0.5246607629920459	2.0681995220899747	-0.7218839664160175	0.13270960568642043	0.4970949834362229	0.43689947813299373	-0.22966837847983443	1.3219578984634963	-1.198351197851931	-2.6138026543046937	0.6522665033439955	-1.0483569350095423	-3.8523829114866173	1.2240043391221893	1.9404826335437235	0.6552715075126826	0.4283431009252251	-0.40305774713791254	0.5878644873238866	0.9184507478499262	-0.38440250365956774	2.1555920343255455	0.39106098906691794	-0.28180838527542196	-0.7188137640640362	-0.3469693067264786	-0.10980049425585513	1.467219325498092	1.2536033802651927	-1.2799742257206117	1.3991416357228412	0.062441373145420656	-0.21013784212534173	-1.0031608847088513	0.2559644734085653	0.9689721629045152	0.4850309520105684	0.7279663975105743	1.409841106806076	0.9739356238508493	-0.061900947279715964	0.43907848306150304	-0.09680120823678783	0.5370398338312301	-1.8652707225392948	-0.47356833570919865	-0.17260897341609507	1.4030390225696947	-1.5411483292727153	-1.0071339256500957	1.1146918091864757	1.108739378303153	-1.9338734704682976	0.24319002875305865	1.2195042598707633	0.21233004112668966	0.24609365099019023	-0.31106890755271077	0.41397358640998533	-0.3667162084679624	0.9259192927336045	-0.4907891046722691	-0.2394668349900654	-1.169916673775022	-1.284729953754878	-0.31491229151808503	0.4264406033889723	-0.6161762620126772	-0.367946549419156	0.5652923135859037	-0.9834577159942605	-0.5829659785527124	0.521253037453395	-0.5710770480574355	-1.211322164231187	0.9002360508489664	-0.6796800752249684	-1.5625247104916538	-0.6836692738326103	-1.3967789754023552	1.2403894190397686	-1.2735801555273825
DTXSID0021094	5.459147983409624	7.202911342800802	14.823124784265932	-4.268049863093413	-2.4676074323650656	11.154154522808337	-0.6786031236151352	-7.38624912078728	-3.1562839054768084	-3.910868923601825	0.2558010694419627	-3.502218419943462	1.475294652887023	4.647865282042552	-0.10942762651085103	-1.302649289454094	-0.9122902658459899	0.9469456388939181	-0.38371054100515123	1.5232878450666525	2.5626809456481654	-0.19228746150172565	-0.41849059868079785	-1.5161552234985292	-2.7236223758513516	-2.6564645942950817	0.4292765089607025	-1.1746428710186392	0.3826629173598101	-1.7118972370664882	-0.4475574326064858	-0.35735455178680425	-0.4309057959044714	-0.8991190759088602	0.16940161781771532	1.6306351074909726	-1.0575657871056785	-0.9347040090299625	1.4943573542758646	1.1005089678546112	1.9668325692311948	-1.952452077372858	-1.0933911914390406	0.26168522241359765	-0.11508441419930225	1.0750915040670546	1.2375995205043644	1.1374469343754252	-0.16475667211232134	-0.5293240912410111	-0.33721224851700293	-0.32306285734441714	-0.3810402307924988	0.7026241058482806	-0.3616445827492654	-0.14202943154674058	0.45945927116287605	-1.9191109850998274	0.31923955770700047	0.2782617258678077	-1.3310806662645636	0.9817399835145049	-0.21504738498678286	1.5196039627759674	0.4094310715365743	-0.32131263431216844	-1.6708128144604353	1.30043978583235	-0.9887065060875907	1.8423463122803545	1.2580834943337054	0.8042065786119411	-0.06848844394325007	-0.5946464093266906	0.07230127827841018	0.44543960541603156	-0.21702256139209686	-0.4554996590198821	-0.9469809476604177	0.9881260705209574	-0.2375008491056362	-1.282287182677564	0.31329168654110656	0.5478907245293394	-1.2589324600443663	-1.6726466411075966	0.3900958547668206	-0.3649416085467791	-0.1635824098779062	0.9047584176096973	0.23797724647926702	0.8060713075961938	0.22704725564269243	-0.6626985315295669	-1.008938966202721	-0.6010525590908704	1.2862948978954862	0.24836427192917376	-0.0472387620710923	0.4130016478814854
DTXSID0021125	-9.148085466558044	6.21779773578257	18.23802630901354	5.697976856244759	-2.7035670782511043	-2.274980310042689	-3.4700398696373145	-1.244702845173787	1.4037282217795206	-0.23709782694756368	3.3145651952742323	2.8038554727396203	-1.565965406731975	-0.3955151759067602	-4.459972547112411	0.04573982302889366	0.16239823649361132	0.8128380926916396	-1.3127935500588286	3.5176498759183388	3.00995637023344	0.9690806184036223	0.25055535627325265	1.1457013324370453	-1.8220705348085795	-1.2676162226966206	-0.9519726007491631	1.052997140424019	0.5073228001283742	0.9730733506739041	1.7700536938527853	-1.5545053198051417	1.623502589046357	0.1737765382579819	0.34465950320227073	0.7548164218935967	-1.3706637935691959	1.464096184593994	-1.225820485137875	-1.6091443462454638	0.40196485868938825	-1.0446037669008144	1.799098784202446	0.7330732675471601	0.5969856939038741	-1.8992002943833768	-1.7404548833281943	-0.7381698697817742	-0.03030449972943094	0.3392578998402891	0.4590401872538311	1.0902582893878539	0.4879309410630023	1.2892214014011005	-0.47004304859518026	0.037461088792191614	-1.2582799451913926	-1.992824353797743	-0.06517878654061401	0.39323930539473456	-0.5276428236923724	-1.4024659990293766	0.30593580225718187	0.568393628093085	0.4689373982477215	-0.5341950654328029	-1.6414145450671294	0.2085410519866696	1.4087974824672669	-0.16530496845641374	0.594446635869573	0.7127848211359824	0.8663749772510982	-0.39179095571993056	0.23702026012439617	-0.4634644309162085	1.357358260669462	0.9816861963297989	-0.7723171619519117	0.44619142269772305	1.2954193724382106	-1.1033305040304215	-0.3697870837274643	1.2868512804350358	-0.8352206792758344	1.0751440479672998	-0.20332177073786956	0.2948335926889942	0.34383983839912025	0.7990581926346637	-0.3899659540754776	-0.288008888203463	0.4905465158832564	-1.0725160469836927	-0.26678671579603364	0.5520175187790695	-1.8236021070904431	0.14160224591219486	-0.35647897662362454	0.5229110652673289
DTXSID0021385	-3.367762456541233	11.849324438463201	-14.648453070282642	-6.705898308240405	3.3552909462512686	-6.337788742993476	5.687475032728372	3.8567248924016835	2.259277465106785	5.442167630402505	-3.10983450757682	2.6594513402521995	-3.4703160182423582	2.604191041623691	-1.0840268901704513	1.7413902975541051	2.1772783156920124	1.652683844455453	-2.3562876482724335	0.9665272380829123	-0.9853461056480654	-2.260328726758684	0.2136138939180438	-0.20490623690966522	-0.9593397354289477	-0.45645726154727007	2.3929208230392143	-1.2659723766533613	1.8429829196864762	0.5908901749921728	-0.05287306574677259	1.815945549327303	-1.3682002246971252	2.2867472258314576	-0.09607070141201488	0.10594591149613602	1.2154064850598256	2.2110851135318343	-0.22454702645965702	-0.6138768673827175	1.6659770270527707	-0.4004327017184629	1.2291639904037042	-2.2613390105998015	0.3924573472106657	0.038800116305507615	-1.1951723277582427	0.6372197396777363	0.023801226398774165	-0.6170351462103331	0.22574509211376823	-0.8511469308943211	-0.8305430256565727	1.1874396696774654	2.613082959549066	-0.568245127351131	-0.8439986241231641	-0.7229247323031681	-0.12208441270535397	0.6186925900850364	0.43474623067252743	1.1427631901185995	-0.6371114617127017	-0.14155450893205143	0.9559693342699291	-0.363390769452577	1.1405060872180008	-0.20921438511962226	0.7665405165763525	1.0590968378058783	-0.40186890899400973	0.17545388636705953	0.09620702233863887	-0.11809999052517688	-0.5784236786548876	-0.6070336435359452	-0.4360131017856698	-0.38085666175753996	0.5509246073772566	-0.26348577354952474	-0.7521421312410687	0.6459447944095938	-1.421780345419466	-0.1809052641258325	-0.6023183399279517	0.44459273813901945	0.4952586612815329	0.47975761915672055	-1.0698800072680996	0.36294042303380647	-1.127370705500717	1.355342079935056	0.3021864933348437	0.02545088198098287	-0.21788092884327787	0.6769316186588752	0.6049662962066207	-0.6488646118631877	0.5071645046450171	0.5121110055302123
DTXSID0021339	6.61549674049085	1.7973728539052956	-5.739637881681466	-14.428782251952837	4.5283762629742075	2.4771397182330137	3.065230309327643	4.120952283942404	0.05570003849119284	-2.4944379841077904	8.149213812703065	-2.131258733929946	-8.456342992132164	-2.9556151489594145	-2.7094718697818863	0.8704705910256455	-0.04701641077587211	2.0231403417354645	2.433887096944782	3.982554769016689	-0.39300290557432044	-0.006248427590807009	-0.36407783869790017	-0.18126718650907395	-1.492943356583624	0.44602733477124673	-0.393253069640153	1.6529689280197413	-0.41413033615208994	2.0857128849174633	-0.5584740212303675	-2.9789014827245373	1.7205692904109968	0.6807346661662125	-0.027353382483375734	0.8530657377425538	0.9239559139364978	-0.7538660438893552	0.9470215201777342	1.5212497321758778	-1.1638367391082514	1.0255334463012802	-0.4516182088229445	0.21076209697842932	1.6403340865011453	-0.7317893370491817	-3.351560708130771	1.1786188856270579	-1.8714559422115082	-1.9388145292032055	1.0842067683381045	0.2325364192053517	-1.1326730694670593	0.24029680161838488	-0.5805742235567996	1.4817488764060633	0.6510657408280465	-0.6702768766499392	-2.5346755840517163	-0.6762385436882046	0.10026237178890864	0.5093476238205036	-0.4486150033910126	-0.6995924616570668	-1.869814822656335	-1.0094042167710926	1.3563346977559858	-0.10972149571981572	-0.17919382872200204	-1.4338511188758756	-1.087972420640291	2.349348157632808	-0.7901824551399764	-0.5688344394917968	-0.18262796045707863	-0.8433920394081647	-0.08626376171238886	-0.6922472216086133	1.4914895151778995	-0.4475817457031675	0.7636775135737167	-0.2747139602685802	0.7911089341441665	1.5128572245158405	-0.54807667011377	1.0625354745892475	-0.4356220380522519	0.9103166112234938	1.449061151799372	2.1890646104588285	0.19926588776420598	0.798518517943522	0.5750269552981115	0.49044699689012256	-0.7763240679477077	-1.3922501386370976	-1.1856193300453648	0.9277832441537457	0.3567752352585195	-0.6938042596497774
DTXSID0021626	15.594664724856951	-5.234562056688683	11.901597735051194	-0.6154058120605973	0.005574439594152661	-3.485289328783987	2.6748440792446875	3.6186729100220263	-3.1388435545924174	-3.1792002813088285	1.1792146009349016	-2.854674005709648	-0.5732678275343391	2.5864194215305036	4.43752409409514	1.294833696366556	0.19706639069388343	0.49688278272023745	0.9260877020183577	-3.1783302322211027	0.2621237414335714	-0.317705077755426	-0.11691060262059925	0.6812743906773445	-0.5134754339326609	-0.7088049393242752	0.06750592568093143	0.4285756101682772	-1.465053760156669	0.8385035472524038	1.0463571535653688	-0.4859846980536171	1.1015886595688094	0.0423355880965535	-0.8053107836404225	1.1423860265783288	-0.49659622800317116	0.12496430836100686	0.8907378159675607	-0.15676611774235866	-0.9812909981850633	-0.17212125753046742	0.7979476527336218	-0.27229681271922035	-1.1976879342576976	-0.5848361980123037	-0.4999780470720681	0.4793925072538362	-0.07992109046050344	0.024542997153731427	-0.9801567116762003	-0.9534055351410696	-0.2955527675444263	1.3172860935454018	-1.1502357737324354	-0.8775811352873604	0.6954849858246152	-0.12895762699774138	-0.39701280833528696	1.072482224661827	-0.8540263440945673	-0.005542536580364338	-0.5934971870184869	0.5831630921971007	1.1618440389684437	-0.2194660917995622	-0.9393221321434994	-1.016207724605792	0.30130630894829596	1.0156860955643914	-0.23488970443778356	-0.6518642175238917	-0.5203783424730175	0.08799883298375777	0.1919003377158807	0.30668503365569155	-0.25457152650279447	0.1348573936988437	0.7566193839099662	-0.7904281247136006	-0.038575660079120444	0.3875067689716924	0.8623166348248705	-0.2601035708682509	-0.14742723999290222	0.3298888391192993	0.657695386636032	0.1632960069313517	0.38495514205343234	1.922468751022015	0.7144270589961423	0.852590525632437	0.38090637928004434	-0.2281747795080135	1.4329573370179083	-0.18447365828457418	-1.1040435922641285	0.0898038515079634	-0.7595745436107793	0.03184224033590867
DTXSID0021961	0.7930211273320077	5.8913410753830675	14.249159528092292	2.4898344457137993	0.6683593180385188	3.3751978445132518	9.903122485927923	3.8962801274612593	0.016790738221002945	8.465293734988393	7.466206120389083	0.22716606950098805	-0.5732933038588693	-0.22875843762895345	-1.6037746859354054	-2.3984792872048994	-0.753790361989211	0.24029989331066814	0.3707853491490304	-1.6126760852387076	-1.7950481473736999	2.68937615793886	-3.32945469179648	2.1815503720587435	-2.1641103271685433	-1.007747317009106	0.15406170773851643	0.043883350302945705	-1.1554415608608453	1.5812590084230642	0.9042376790049341	1.6453885649101294	-0.5309213462443262	1.5778813465167576	-0.8617878042468172	0.052526325037748615	1.0974693887977949	0.0902493302664479	1.2488509473085607	0.5778331801000618	-0.5289110630557499	-0.3762133896491245	0.6563705555462812	-0.41824880379123974	0.8366628958081158	0.15643614852597898	1.1333241582824276	-1.3401438339170355	1.005166041162762	-0.3746900758294092	-0.10384222503823602	0.9948957582877945	0.06271907143503493	-1.170126611022795	-0.3608152651558482	-0.8711664262065931	0.480608112444961	-0.4179622526007919	-1.873251928540929	-1.7124446076861704	-0.050879385640800114	0.2849594335403968	0.8620024975281362	-1.5990278693231261	0.08226417840033352	-1.2549723748053683	0.02346534647559013	0.3493950817844157	-0.23021393702732842	1.0179516472046126	0.7531845174660871	-0.4769846670048866	0.32958090490684033	0.4813456559595454	0.8075977008658931	1.2514198157050593	-1.1287515554634973	-0.28224412998496	-0.6077250671091085	1.8351787593466833	1.4471332507809544	-1.0183517285627717	0.16269565570120584	0.790759991885708	0.5068268034242871	-0.6530670993107488	-0.584753423903936	0.11504844203394247	0.03525276280863602	1.8089093947839783	1.9880898104333669	0.7014138851600327	-0.2278606419859768	0.347460873642604	0.4242119385006465	-0.12441622931650355	1.394749091796388	-0.20696889033258725	0.10148402826969925	0.03925077722178806
