compound	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
DTXSID9046499	5.117827845621699	-1.3995347186947436	0.6639485764279461	-0.9049543882954092	-2.5265277261784687	-0.19980632532318138	-1.2346046130747925	-1.882925090830933	2.044570372583797	0.1336694731411327	-0.4377342879015965	1.8462837064255764	0.09440885908215198	0.015716378263301092	-0.010804681925972141	-1.3325772571189816	1.2404780224254544	0.8865517387912206	-0.4747896894509142	-1.9904683098640716	-0.16045756469167624	1.2583559947675658	-0.10783910333505166	0.07363507058665925	0.3990133399863814	-0.777028395659435	-1.1409486215189941	-0.40207913795166367	0.40894120887296653	-0.9423177594417325	-1.7352108852541568	-0.37558379692752686	-0.3446371094435968	-1.2093490491205892	-0.0011761813087495792	-0.6873161827195742	-0.06566957070995456	-0.43719104115424506	0.05704247605163984	-0.06126020141116909	1.1197207976792813	-0.2539712373504935	1.2721775831216773	-0.4171974714940143	0.667626207775198	0.016700705815162864	-0.05712361526529316	0.09057102197429116	0.29051465432566337	0.22558254032769368	-0.22909948281793072	0.3962770389575485	0.3515865437695217	0.45365878773783047	0.5016106698785607	0.9167904164049083	0.06695826914287106	-0.34865597197954773	0.14968130367505228	-0.7057536910759318	0.2845363665725182	-0.016447026612208357	0.2539087671158749	-1.0856157332244472	1.6990010028888483	-0.5970308556929975	1.8119452705319172	-0.13598035106953021	0.2531007326504788	0.4510111220838374	-2.140047303613121	0.3545979741888173	-0.548288484852088	0.5712439005716512	0.8570528930370239	-0.054868134195411006	-0.384074630034991	-0.6224443694147627	-0.0028179817406972425	0.9754244750205434	0.24144812817612457	0.12532063493897555	0.6866290612407684	-0.2371821354696428	1.9985866639063774	-0.22353419430142257	0.6185838470443552	-0.20730453061533888	-0.000910673194939635	-0.24579097997185897	-0.02006236376341502	-0.27478861117566106	-0.0016412417334473028	0.7049672043834774	-0.7924613742248182	-0.20880286069034326	0.0096538473645611	-0.1444494698855678	0.25532251943057166	0.483275405877654
DTXSID3049386	-0.9875975107917471	1.2010930118747907	1.182894814225113	-1.8954356405313937	-4.797948040655692	-0.3339114388109523	-1.3684676208371116	0.6195980407497442	-2.7137473927564195	-0.29703167761329013	2.8470250600479634	-3.3782813252119333	3.245883646505963	2.9545992108799806	-0.7909824737419315	0.3429696862826369	-0.0695598950633412	-0.15605816702665998	-0.2991697166643865	0.07257149626063546	-0.5170082286455356	-0.48269489335090376	-0.11390225064570153	-1.7993379184751865	-0.6770778268021767	-1.1744005146545193	-1.809935740337241	2.7268883210336305	0.829962480169094	-2.391305476710829	-1.2733526257740337	2.1031566869061087	1.0190324981094852	-0.9968798854189908	-0.5441734734474255	-2.112582001302026	1.3251802844574252	-2.2622597263337543	4.319192572509157	0.6034741295162103	0.5600742139305679	-0.8964152385914593	-1.136029440836623	0.029287713783183764	0.7776764434069775	-1.7015247650135474	1.898717884862998	2.6651085124709293	1.5428338556169088	-2.0786359444993474	0.6386909121413594	0.09349093134364292	0.12474910867732913	-1.0008083519108093	-3.1384859740013096	1.6555295523252251	-1.1675821214423951	-1.349669806209981	1.8416864652776135	0.018521823874186844	0.11313933636781424	1.6850310664516899	0.009604412266751405	-0.5041834994259944	-2.1353290610447884	1.2598215623978368	-0.5329561164135367	0.7958502873841015	1.051666079290587	-2.625010309465503	3.790606351227523	-0.8446167000809784	0.7374208876142971	0.5084031453351432	0.11608667955649682	1.7543123785189945	-0.03229745882642428	0.36302389436172117	-1.1478891680731227	-0.6213780435521904	-0.6262030342567567	1.2399439209756324	0.869736656497107	0.595285647972712	1.3027727555672846	2.426167395704284	-0.3726113095305929	0.07948416122338224	1.2286024804559583	-1.4248355180804433	0.7464850887764979	-0.7429162423285275	-0.9263458437678427	0.7750415508961176	-0.3633052853812471	0.2487576334128883	0.6390545079684248	0.16398473692794874	-1.6891471873815245	0.20791077793050622
DTXSID1048625	24.910929078113675	-7.795506479919551	1.9543185615111756	-1.5209683383583934	-3.4131739220542525	-2.6918092449897792	3.267658920720248	4.359776827369379	6.766232584018925	2.1254731309970776	-6.043334736961734	-1.8767568165339856	2.370661500017872	-4.836677713273565	2.068711327867263	1.540347020449824	2.535647568003143	0.7661844495720695	-5.096525700336378	-3.5441722086987717	-2.2349258280099233	2.107418139331167	-0.6728276948873523	3.7129226996847047	-0.8308997603222621	-1.235563159433555	6.0039992469954	5.486584107116975	-3.1191638403831377	0.29999653716004243	1.0492895514117893	1.1233067394018108	-0.6013025451713073	6.276310348372869	0.489148578480923	0.6868095966246088	-0.06213075547578083	1.0411935444644453	0.8106569484422973	-0.912837602530548	-3.063018126337832	-0.7356814257305536	-2.627231309600875	0.16337509693831628	-3.166651544330313	0.4803338457051889	-1.5771516603131535	1.4217884995123589	-0.5400111722825099	-4.65463986946949	-3.2900883127204796	-0.26216623362745256	1.0655228677726034	-0.24193432312067178	0.17625368566413943	2.3887490421380857	-1.762119696689166	1.427841738692742	-3.9734873694595017	0.9887698370539616	-6.372130935502908	1.875945302749772	0.2542977654972581	1.871445899223362	-1.312219860174077	6.867829057185757	1.5431999643493066	3.192643448531861	0.7109769537144845	-2.9814069058893535	0.7921624505152469	5.475071330896912	-5.535759922392058	-4.462861265105505	-0.49016696264650145	-1.163945866324519	4.6872737016380706	-1.0979985176264826	-2.4411491503877367	0.3235125114608807	-0.05021319005688419	-4.5983168260180465	-1.15387882464165	-0.9961121777944105	-0.32176140482733023	4.171536050923365	-0.9639290826260328	-0.32556013744248397	1.2277380494531278	-2.474883714711911	-2.2065134835187967	-1.12527035564384	-1.8094611260633473	0.3972642651201656	-1.3798399747159211	2.6631965058789056	0.5349790681689656	-0.8224452203117795	1.4058935593597228	2.7592014906718423
DTXSID3045568	5.642797826024565	-3.706347959985979	-1.444208462893643	1.4086612282286988	-0.36221933582880234	0.15207818108763138	-2.6352109556266843	-0.06055692253780336	2.8586172745726595	1.6844936927680982	3.0234264186091195	1.0655930527648703	-0.15900672624432705	-0.6630589663333576	-0.3571441690212358	0.6515747724244636	0.8586571941711352	0.7278049227661227	-0.5949988907998213	-0.9692451280383253	0.16211188193693715	1.6536683080838634	0.642456940910901	1.3178137806898587	0.3653102346748371	-0.08670257017767022	-0.9039991406003698	-1.0479590517672341	-1.0555436931815503	-1.416386696780203	0.89736756226843	-0.39248103890743785	0.1215108923256931	-0.30068626342557986	1.4195194094343173	-0.9935799212258507	-0.7516795706976381	-0.2679517602926491	0.11761798594352257	-0.8891682979218161	-0.2858321436425497	-0.868335920442208	-0.23798011082864437	0.7850384406600323	0.3150625973226364	0.07019790985913434	-1.018882125543987	-0.18392257880904408	0.08526488423143264	-0.4762472372718368	-2.1761775954518985	-0.31058629085468115	-0.1363265600409302	-1.1321043868257088	1.1191039648251413	-0.018321164450042775	-0.9240436752093465	-0.9693144437343024	0.7311726816868106	-0.5107376222595357	-0.0956368228102051	-0.6214386775917762	-0.508774648558861	1.1994669074147866	-0.14970998800319205	-1.1144535984162887	1.355084840622836	-0.4436961872951093	-0.8487283945075504	-0.9932078376045	-0.6198814887181189	-0.6025679918979093	0.56040546924622	0.5053737613833461	-0.5358216165828773	-0.5243299906458472	-0.4914124764667845	1.0464162881116976	0.4389485806738656	-0.054649206942925924	1.4271615870159104	-0.5917919210256518	-0.08169987105055239	0.4489496138669012	-0.07544671235856466	-0.9988346645515342	-0.5655581238307914	-1.051154740770404	-0.6803287332088935	-1.1581015684434177	0.6801470191251551	0.016650043408886067	-0.8710995149344394	1.1348552843179323	-0.11741857843392048	0.16620596593461517	-0.11894131644434666	-0.6527836141468575	-2.2386018230712916	0.2546200384784506
DTXSID6026298	-6.881252626352866	-0.26440378276884136	0.7485223636661132	1.3227541281565451	0.17980087378965404	-0.7299225217130076	-0.7911240320394738	1.124034792702126	-1.087660562576931	0.15494022707897742	-0.01917834079250571	-1.6259866528175182	-0.20075001903085055	0.21295099110685176	-0.6365222920803253	-0.24675517547601472	0.45305689908334895	-0.0285674863684732	-0.4341003241806637	-0.06723877628506292	0.08413381919341452	-0.44794511531509473	-0.4331581467109505	0.24946163129721657	0.2315309743607184	-0.5798885322487746	0.6805501929472918	-1.1427571476409382	1.0911389014856117	0.25016615230531697	-1.1580776636113457	0.2801970838472001	0.14318332452331337	-0.4974403577432261	-0.8550806186795532	0.40060191219036345	1.2114818108723713	-0.32777975403299836	0.3712150590237726	-0.2594801306967331	0.31716922200885506	0.5321417843832412	0.6276577776043899	-0.3784349859125051	0.054894395560013104	0.098250366604149	-0.5530618006538099	-0.016710004691226594	0.5602520913895298	0.577214319264855	0.36103228259167247	-0.007119567728974346	0.09101144228962292	-0.5287047599147549	-0.04164090666831591	0.05721746412299216	0.21512948179147173	0.25512517378341254	-0.07861776075502164	0.18972350018396666	0.5575520042951516	-0.271895546837841	-0.2128469571892425	0.34726281947628407	0.17262370946041453	0.04138616325731364	0.16772088316775002	0.21029445208551192	0.5890180907439048	-0.008749249530756145	-0.047571431140716214	0.9090071011629375	-0.4007469574163778	-0.3953461108606788	0.13300222858903224	0.028530687688092377	0.3169469621483529	-0.4742601616993853	0.041506439800800446	-0.3291340971383676	-0.29648763787498933	-0.2860009379129805	-0.30338562633605887	0.05485364073353893	-0.09679072976403197	-0.08236018296976377	-0.04095659540099309	-0.03569530678064035	0.11792585596473362	0.02052555583809602	0.008019871646706072	-0.05439692689343364	-0.042124218245868116	0.18374913622231495	-0.08794462193225289	0.47498152430255147	-0.036371147179108054	-0.01009674322820701	0.44093358101579844	-0.004739065769603207
DTXSID3047847	4.014208815512227	2.1951044871124137	2.4919276847466727	2.24424461749547	2.9202494412702236	1.2786037420192657	-2.213597923988125	0.0704033336050429	1.8602992780710106	-2.2683286747012144	1.5062521566794556	0.030433545443552437	4.199235423131246	1.53962570688755	-1.8872876448658638	0.8223637955625217	-0.8429504849480277	0.8401467424376389	-0.4024849116072177	-1.0708532380967084	-0.3994897996902113	-0.877230244733616	-0.12638848307378792	0.2672031792391992	0.6998276189009771	-0.7628793570080883	-0.7940635227230324	2.429666091311196	-1.1050594108668457	-2.757362238725808	2.179197656691276	1.2726132976847364	-1.0124790861555257	1.8854384348180298	-0.3651558410514118	1.3665304279354558	1.192931556060402	0.15410967696912062	0.3874288221762851	-1.1409222711994413	0.6528363094408981	-1.4297949637851959	1.3951353572854526	-0.3498494683615494	-2.0253160709860816	1.3057923797575572	0.30708001254224804	-0.30949651277077883	-0.4835773212196384	0.26000417116115615	-0.41500348971615914	-1.357571160734133	0.14889372068283155	1.8385573806908824	1.6499604409443567	2.7691632554691488	1.3643422620485255	-0.30193632850659935	1.125353217210384	2.46606756844803	2.204291851711601	-0.6883701652688374	1.6976870193878102	0.4358719893793691	0.5498128094818832	0.04823585982059838	0.2938420129177088	0.5737996843567723	-0.7147654813458283	-0.6925899117466167	-0.11247206180252897	0.03215936133363552	2.11186361531238	-0.8209641626783095	-1.1308294576098397	-2.058522688282896	0.2531885782228385	0.14728692737720753	-0.16536548099395287	-0.20841406354804778	0.46951457739190655	0.2501375538905473	0.7840446862485377	0.7906352850054269	0.05830424187152011	-0.44229440087281274	-0.82024450607312	-0.3418581175080442	0.5279713140927761	-0.6516058195578319	-0.14882650233659903	-0.617193101335026	-0.7404961032410383	0.4994109215916146	-0.39697473472809425	0.5317345071263357	0.35171273305267275	0.5154239017792722	-1.0898314701392264	0.7326454830826121
DTXSID5020863	9.691656813971461	2.3053382529771116	-5.259513997971225	8.460489880910636	0.7140804907558488	-0.1824134061140836	8.531412643799792	-3.5348479039681435	5.183766006412493	9.958037845122789	5.9782721227301145	0.02229946273254017	2.183244843039761	-2.4307996646824637	-1.0393432184837599	2.1664707923580173	-2.50394343971881	-0.37928503777570743	1.0265846020362182	-1.858139692336624	-0.14960754190293307	-0.5958293719465869	-1.7310733571376355	0.5744438077082119	-0.3031807651308419	0.34754977963115496	-1.2642537718451508	0.06166855397541966	1.5818930453711706	0.6696440895751256	0.5058079283382321	-0.62315925635928	1.161072365857312	1.8978835903726654	-1.1577915018190437	1.671287457385422	-0.3548540989639297	0.03888751966664184	2.067396804318159	1.014694272509617	-0.19106792327251562	-0.8946707718542496	0.5269824552988576	0.4322790973709239	-1.0839444976183283	-1.2984095518845604	-0.8136542015292353	0.12023627516379869	-0.7995637930005007	-2.14912526590082	0.567137865033763	0.27022940387466327	-0.34249747002347763	1.0794287080991134	0.1928539158727305	0.5624393414590049	-0.9281829891004414	0.44550839365386086	0.8384367624524504	0.3556141446667518	0.5534765739095836	-0.2780880056660884	0.18293825114478265	0.6140334345702705	0.04518822881340126	1.5327360490734951	-0.00366164156819484	0.34345799669163407	-0.15054043366013126	0.7172202940519973	-0.3256057140559795	0.9188905831624922	1.2648125480548027	0.04188542766933055	-1.0436715088056596	0.02309593997775518	1.2915308244402124	0.9007143072822006	2.36887740242039	-0.7221952076988772	-0.8783530027802201	-0.7999121361431574	1.2095067568230498	0.5103606958310495	-0.5966547765017383	-0.12527239989871664	-0.12358879372404902	-0.24038012608438467	-0.22946451765838816	0.6812495722299888	-0.07793719683456828	-1.2351081759016576	0.5565181889716984	0.22800923503899798	-1.2309206190577315	0.04639453900144852	-1.0391574105321604	-0.6793528544117057	-1.4086461046552536	-0.6547571235574303
DTXSID3024449	-6.800696043782918	1.9458944030294152	-1.4294448602675645	-1.5516120407304468	0.8979114764721977	-0.5772735286553131	-0.915172604260342	0.5360718762177018	0.9314968580442606	1.7526442865157843	0.885951422000229	1.5042141093252275	0.7780041421515445	0.14381198274212065	0.7521371159444062	0.9110143976224436	0.7179083866510009	0.020514138310417287	1.0932476227244243	-1.8336383395716207	0.27149696957578817	-0.4766977578744107	2.776561132894111	0.9013404665686496	1.761877090669126	-1.024868140883982	-1.530161267983429	0.0909961215941652	0.5125919816600253	0.8655883036735886	1.2632103776411994	0.06444995613543245	-0.6752708373066943	-0.707869528770993	-0.965024096811069	-0.16416294731112438	0.11157697207151462	0.7903331305970831	0.4947173854225737	0.012619941994238848	-0.6258774234654622	0.2843217468513875	0.09663291279993289	-0.3754609844011312	0.16632708024784157	-0.27051723482799933	0.2363385416282041	0.645943933347261	0.6939904376510916	-0.2469939615085908	0.18456728706748182	-0.37720343092180597	-0.13378748555397355	0.7565381454840945	-0.5970051950237087	-0.03997145080729964	0.6610950301416292	0.0711465377998501	-0.35361090892825137	-1.4789166825344462	-0.3614035795233215	-0.7984646058875665	0.2369107847811894	-0.3188483776616109	1.0150044646024379	-0.4420071866552437	-1.0125293171258858	0.9572441189434727	-0.02972134235523478	0.11662852416178715	-0.5043396645723747	-0.6241518152465898	0.31876983316317314	-2.0545048814108435	-1.1568590946064963	0.2207526828824125	0.14384471408655566	-1.8227333918280153	1.3917372826246202	0.31112769678704155	-0.28412600669735716	0.22363150981260851	-0.876298867644976	0.8620824534088851	0.05255140673693262	-0.6713747291647068	-1.4924784185591513	0.13858997561065406	-0.6318623697903948	-0.6655980999477137	0.9449670622161591	-0.34466476144427416	-1.372751643926941	0.33030195199690354	-1.0108084492060019	0.40694863853265995	-0.771218073080887	-0.24634290775885262	0.12316271866081238	0.06149203213689462
DTXSID1046895	-4.744745749338355	3.2751416296155322	-2.234084520295574	-3.6761484603922234	2.995528030760104	-0.31294964531673986	0.8531656617394727	1.5754025557032483	-1.3212261371084941	-0.5619958845797044	0.10783065138983254	1.383491785090075	0.9984854316125762	-2.844526578949253	-0.5725638496021602	3.7684499675901173	-0.5759790903373023	-0.38111388894272835	-2.5042279661964164	0.1105324913278296	3.654202917426501	0.11677115410237539	-0.904472652904093	-1.6908606080360182	1.8588134886253995	-0.0823310149164443	-1.8030814384749985	1.1982487760222968	-3.1969622479299047	-0.6948885678194301	0.005177904837800362	-0.7508602772564664	0.09430911166878032	-0.019446353563893015	-1.2469925033199094	-1.2318534425679708	-0.00843572129887906	0.5591932207717316	-0.7591469044101691	0.2577943678028911	1.1867485502543453	-1.0584875593945622	0.9274708380767973	-0.5536438368545488	0.9338175662865984	-2.1843565077046985	0.07265158045735173	-0.8413794945841897	-0.3331679425683363	-1.4485984829609109	1.5454676706751558	1.7422671763781974	-0.05746429854984995	0.9774611037027073	0.5219239239989739	-1.1146644700678991	1.3420024509332973	-0.8195289839794676	-0.7682678245176179	0.26840071197579063	2.260025971660288	-1.8313864390968653	-1.4759171064727425	-0.787199238724615	0.7135771109827164	-0.024919045382663797	-0.040475183471874336	0.46287764825235045	2.595920057301188	0.46260585195436715	0.8118442866908071	-0.7767061275725949	-1.2833801479883322	-1.0973226106906393	0.3645107509522947	-0.24839439008172823	-1.0532345364791562	-0.3755753722727386	-0.12350832008161004	-0.4260705022560747	-1.1127508144542955	-0.1916342211361561	0.34834448710307386	-0.05306341835551631	-0.33849084923265543	1.4545073206264456	1.3186228112282923	0.09373197119354648	0.1418208331708628	-0.3933103521970338	0.1437688589467519	0.9944988192725922	-0.30014009949399784	-0.0057157210562856645	0.2902258868647842	1.010246041001341	0.2360290116727744	0.5229369636546262	0.9387262817300975	0.11223406624281597
DTXSID9021554	-3.6268830122411706	1.2006719546049966	2.3039904419395953	-0.8109190253269122	-2.674833840845253	-3.365420730821919	1.5410532509834005	-1.1229673150024047	0.7422505661880493	2.5943163193001384	0.16827998947856349	-2.6592103807379956	0.5718760279880409	-1.632393327500391	-0.36398449890486434	0.7220469881781285	-1.7906916049827701	-0.38924475040503487	1.2807009618581509	1.0091637098511232	-0.815498633800214	0.4757370372700464	-0.2792373664443608	-0.20035246412356647	0.09699464617622341	0.15111498309467306	0.949679575043269	0.4224323463597508	0.6016076122694347	0.8895252411800486	1.5849391945826434	-0.07286204276505102	-0.42799571069758824	0.4169557874996982	-0.25090972920713067	0.5684342964808616	-0.6666893494362139	-0.2549898075697059	0.5732944437786616	0.1817652463246723	0.25189555477907416	0.3320895719124789	0.1074967566661828	0.008923484336033474	-0.5230815923134342	0.2546114832961689	0.4124769969111566	0.2483820676071951	-0.9557853753900092	-0.058567994944125325	0.5749325180308373	-0.14194330252557325	0.2044334219849366	-0.11878319553270449	0.35155540583018036	-0.7460183557892283	0.11873240971103347	-0.7956710158799141	-0.2913120686063745	0.20654713577187075	0.0974292607973555	0.6404412476483989	-0.41699646336376905	-0.006369919641245717	0.15883422601374278	0.49553576024011686	-0.13537464876488509	0.3959455907194682	0.35032483159512234	0.23102713370440137	-0.3116981681100586	-0.3487513551896369	0.2361944740497452	-0.19431880931772685	0.40529246330590296	0.10786962858041814	0.04934945234451989	0.5325797330283704	-0.21535419056174215	-0.08204721055302273	-0.12056869876064497	0.3500850230417722	0.3964266229505016	-0.1491992243644547	0.32101469664216387	-0.5935833863392448	-0.3770076575754305	-0.0853914951089942	0.182784820033489	-0.19111780381938648	0.0019058085303715238	0.3038758086408078	0.04577688767521798	0.3459211553075547	0.25941929528358804	0.4288055100277269	0.4545912640201939	0.4322883950799593	-0.04208980120374058	0.10565254481983216
