compound	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
DTXSID0020076	8.93622300332906	-4.2398431703867345	4.395143540875179	-16.003913461874696	-2.060966722256122	6.978880330468887	3.0186843868827915	-4.175703970127633	0.6049953592032192	0.5185537240914174	-4.772403029592257	2.93279392795065	0.664179894651658	6.591769797422094	-2.898947002951152	1.5741623228571098	-7.235394927873596	1.8301830956043799	1.9566852699653663	1.552217748246489	0.8659581587325074	-1.5212413116803531	0.4017159341811839	2.8863776581981453	0.6802433151391281	-1.1829611257789572	0.12027004113934289	-1.3660256133815925	0.7855650454204	2.232327252351195	1.2065629826042596	-0.310354665787093	1.080018831294103	-0.449157098367184	-0.35396656407599203	-1.412104969264411	-0.188920266135516	-0.5414672860877997	1.2082113317926146	1.897056626766373	1.6762955757321787	1.4280789105217373	0.9678477043846925	-0.08440407392365884	-0.5150940068929002	2.5153100043660346	1.1611894821120206	0.10103694236898107	-2.2834269584520905	0.455602215693773	0.8231265579108634	1.150569815213436	-0.2536333446257487	1.8073177177621158	-0.4904336934457016	-1.936801480332336	-0.4900496424561929	-0.42131839868909843	-0.23555191174851384	-0.2979471792218171	1.9138965921916085	-1.3394775411009243	1.5371120085292618	0.723221363457172	-0.3600310394484797	-1.01238334416417	0.2729234694406966	-0.7047148325702136	0.29671555486458046	-0.04104839214951119	-1.2777195410186106	0.5993428998727992	-0.07276559208386947	0.8712161013482758	-0.04671558860841781	0.7752997589328038	-0.10360199394459556	0.9747951849653782	1.0505117957050716	0.5380590262650871	0.29554217568745406	-0.5475092172676462	0.15374148866203438	0.18208168884049317	-0.8679264590251824	0.17772414185443305	0.2583781533986589	-1.2130052983294335	0.670362992717691	-0.8693886620809097	-0.19697555608325348	0.5233163098427536	-0.7097483803367934	-0.009650802083208166	0.03150700911761134	-0.8993197358875903	-0.5926233258769592	-0.2038481463183526	-1.464774485297894	-0.8632037144769861
DTXSID0020022	-18.98247719740894	-4.715737099292893	-4.891048967400323	-7.257234486560394	-1.7483039468924255	0.8351380366879495	-9.666021950032615	4.30573562875295	-3.629815306616246	-1.0558325281575953	3.219713868410853	-3.213492766772019	1.6880071658500073	-1.1007143227873442	-1.8163850956545706	0.9219214709709815	0.7426585514630811	-2.2327010951686628	-1.0648266277993925	-0.5062482628589486	1.6671224247291574	-1.4202149705270335	2.3157864411733966	-1.6108265827688433	0.8189829137496163	3.936332780295526	0.40840226115246275	-1.2180006285854954	-1.3005868327978978	-1.0594383198114328	1.4328539570619538	-0.8604637449144613	-0.8149246512459086	2.1277205861356796	0.19089662643937133	-0.650157141998084	1.5776177811846408	-0.06945371767441175	-0.3662119146340597	-0.6532851981056719	-0.436644257734441	-0.8186737631491067	0.07238627158629507	0.09878892548647283	0.04634121514978348	-0.16880185430627506	0.11117357932514636	-1.6190112235387748	0.6927400289998777	-0.046214010850919446	0.35755662614511796	1.1138580341114968	-1.3376173041147306	-1.48974260877295	0.3638448713593059	-0.22325033870048858	-1.7808059867937278	1.0616734708363789	-0.36892850894217505	0.6911274742233434	0.6249769710708536	-0.25843023762015754	0.7845209013815337	0.9568612056807839	0.5211000834041022	-0.9731812888998357	0.4049073917665606	-0.6245375495249549	1.7974803586062205	-0.26800525714995643	-0.31135109164266883	1.0207233900830026	0.49004778512100566	0.7565980832870249	-0.6389407816822509	-1.3551045067384109	-0.6436443855191226	-0.6369911514571588	0.5554440625600672	-0.10236980312646153	-1.1428653656517036	-0.4999541954170133	7.02715951428072e-05	-0.29533405128421536	0.6574864529176822	0.1628958024022657	-0.030107296676335927	0.13426942153285773	-0.037264202529355694	-0.2545381417923781	0.3700608447966045	-0.9250197516948294	-0.9134294719498939	-1.4002445546243756	-0.4841076870710851	2.389974104493179	0.3980432825056995	0.4973920643881662	-0.3222089190144886	1.181603634865191
DTXSID0020107	-15.532673141588779	-9.440498910684546	-7.513057809354474	-1.6636682877583868	-0.6137783913481353	7.995946112981479	1.8018911247349503	-4.720917423714647	-5.1597015033817755	-1.4105577726761136	1.479272253363911	-4.746604637978774	-0.21962157308907213	-1.059436119083483	-0.3159425789886725	-2.363205404066255	-1.8904355899293654	0.6504613233872921	-0.4415229847146369	-0.10790719050552833	0.14544688856108093	1.5504027767912545	-1.9337078124052791	-5.6179554058156	1.3664838052878623	0.5151430335177725	-0.3233722233991473	-0.1353607853838876	-1.0492339219499331	-3.3505747492042106	1.5629114912937634	0.8745285584179651	-0.7326616781368827	-0.9367544463937232	-1.7401675740949254	-0.010053480057268601	1.4407962324385695	-1.6881683882638867	-2.6120755529686415	-0.08918057518236948	-1.1066333029779276	1.5625473460710622	-1.645348786456081	2.1781728973109984	-1.61252868968546	0.5700827950378758	0.7355136136304401	-1.6536306731441717	0.4355390237728017	2.253391194748155	-1.516171415100969	0.5176662575925055	0.28173982118274044	1.6548873790372631	0.8232581377528917	-0.9235744679846997	-0.7295980433619045	0.06978561576272337	-1.3349712430045073	0.29882838328351047	0.4308396637803801	-0.36742536540739057	-1.5174638515882126	0.4137202931368541	0.5588748074062404	-0.322458769104338	0.6673774020476048	-0.20940778401028012	-1.3607484285301472	-2.0701610327569373	0.5164572025113529	1.1810264245996769	-0.5795751517378293	1.2390645208591498	-0.214370246462474	-0.00958984219544476	-0.33627697159549896	1.2749005100941757	0.17553804573666623	-0.3682388271881929	-0.5135684428116399	0.6205912321523929	0.07317973585904888	0.15860450930032285	0.9375856642728264	-0.47143819617440635	-0.773397583099256	0.21798352963719553	-1.1266688216583365	0.04990000043216919	0.12626982127312567	0.9045599418094274	1.0285212495750926	1.0066868114784737	-0.7384025382392911	-0.25622496499030506	-0.23885717472142168	0.24255061137618386	0.8855096084047684	1.768677487070049
DTXSID0020151	5.226889306727115	-1.2416225117126265	-14.079801434599577	1.3544809705542518	13.514339019222417	-5.902701446795594	5.3845136633443555	-0.3431568364595585	3.2690457220707563	2.46804590333758	2.572687565207782	-0.7133306266371183	0.6129293316976128	1.1646005031210864	0.38046911701269065	-1.2297869499962228	1.5690285760081217	1.0622505099550505	1.5567350841250158	-1.682608232424919	-0.44675821318725134	0.3665305098610242	-0.49141869052382	1.745366007035174	1.1163714954886832	-0.0013901317438433003	0.06913376437494662	-1.7819671176074237	2.947912332068629	2.337551575652788	-0.35885880183931934	0.8628203664953211	-1.594072796399756	-0.1014447261726008	-0.29620871180924985	-2.2777038430300065	-0.5831927755324212	-1.5039313660073408	0.7624541413265146	-1.7271127286982	0.8615798928363226	-0.9986532133680958	1.3125017915054724	1.1235093910659426	-0.7727953025263941	0.27831490119012786	-0.22428463144603217	1.041836906613758	1.052435973639891	-0.576516550227842	0.28112793323143115	1.3733332402094092	0.9467919900990909	0.7559164754951697	1.1227206096920341	-0.2589171241948262	-0.2971610080589932	0.30376820666844334	0.22164065164759567	-1.4408679093614136	-0.5462306534038484	-0.9307330408207185	0.47432169582225553	1.0693776106292405	-1.603324683297807	0.38673096649641225	1.4969527020002262	-0.03170721652299063	0.2217370269747342	0.6210291148111814	-1.2467411446265635	-0.07087977010724003	-0.8083438490075294	-0.07527378873198105	0.14587027091761773	1.117357780810126	0.24020559262868632	1.6937348322797268	-0.07889671780395506	-1.5699245511902409	0.3720882983524239	-0.32796760526999236	1.2518404240594878	-0.6028158121167037	1.172592530504675	0.3263328402050584	0.7438479939674508	1.4951856532058647	-0.23329707223157514	-0.6695444659711379	1.2685870672080815	0.4291231550211378	1.0018958185406668	-1.9064233493921265	-0.1683774688065372	-0.10957547684298741	1.06743780668522	0.7762276386060044	-0.2137591499294191	-0.4972827164427242
DTXSID0020286	10.791453163787384	8.543807190854864	5.552083281868592	-10.403176922863128	-1.4142058347325	5.720894967255433	3.636080300724046	0.07380662690655393	-11.712773100497342	1.1657240891920035	6.7304745940686495	0.24227633869376555	-4.343177026165995	0.9407888488456786	3.9736752282860843	-2.0286831495262234	0.9733514614668866	3.312740637148777	-1.990758566639721	0.5299650370985837	0.40703265207393385	0.2581962837535807	-0.47617485592570863	1.3628362784564902	0.050458204865764404	1.0718462728840628	0.49436059741862803	1.3899695294902885	-0.07862423927956107	-0.13641434211047848	-0.2981617028722715	-1.1284183665923555	-1.2577639487175025	-0.7774847433480644	-0.6015494123370795	0.9541334634234199	2.709290972504046	-1.4035882293417614	-1.275485487817743	-0.5318140030162823	-1.773776441212607	0.7890161776684719	-0.11702307673586548	0.3031638872312746	0.821934871812112	-0.344566167822544	0.08349709605887289	0.4627657953657672	0.7563712418542412	-1.378895696241608	0.3513884197143223	0.23510733857395222	-0.2694704661296088	-0.0022713353239926116	-0.6905049917725526	-0.0321161710706319	-0.05033565623943544	-0.2469714151640689	-0.100918348870267	0.04330749138913881	1.0498655450562768	0.443027541352013	-0.6555904691665546	-0.5980963083388784	0.04423085681860745	0.6260776456822763	-0.1497722274692756	-0.10029840472216116	0.7093317350172754	0.6609892874813389	0.2972402219665221	0.14783410778766262	0.6381588712795311	1.2827864636395916	0.31536218375238995	-0.8778776337631823	0.9090156731704165	-0.13379539237391513	0.4315928349678682	-1.0738427956136882	-1.2692487430205612	-0.4358839555297314	1.2807864984562474	-0.9924349424309059	0.15568715557589757	-0.45585388918202324	-0.40051727131333725	0.23892906428692814	-0.13843451139815752	0.8468351400686188	-0.18571140785982448	-0.7637648191433397	0.23077338614417414	0.14512646497940868	-0.9048287217827804	-0.6412035316477567	-1.1080997861249358	0.026945191370345976	-0.8361356668256114	0.5904182377756024
DTXSID0020311	-2.6854820897135507	-3.4861597862519758	-1.6935832397748225	-7.617434581556042	12.079986977081402	2.123567331320338	11.704822001036788	1.2202137513802758	-2.97197835803287	-7.714708451416558	1.218237493478842	-0.912488725012189	-1.891155351975726	-3.1946125032083446	1.6551485006878852	-0.36883519081079014	-0.4039883276144489	-3.056495320202564	2.1711598771865486	-0.054649047691982026	-0.9610773812319999	0.7419721043910713	0.6037305150783829	-2.0556117654710135	3.5293840031089587	-4.901113634409294	-1.0045236655297893	3.64761449198091	-0.18318105767540266	-2.3968305036316413	-1.2916019156445817	-2.5456128550230455	1.0818340632940897	-1.1351135748499181	-1.3430111535510196	0.16218480264450713	0.5763448962682364	3.0674346840335907	0.21721690254613474	0.3012900170429504	0.1661181138978506	0.3211474107794227	-0.9194873857313511	0.5120003054051485	-1.9044878475530633	1.2369099631873575	0.5220979171571919	-0.42137499001840706	-1.5177650863727044	0.9288816389561736	0.4940127898254582	0.5678920818736071	1.042010074404974	0.7510399716017062	-1.3226756449707204	-0.3097291517471617	-0.48307527959431534	-1.0956258791024809	1.7483904065731215	-0.17567916749400256	-0.36522684129515615	0.09936354949505741	0.21031973704362553	-0.5028650084369244	1.4244472018249779	-0.7599150200126751	-0.5964357823352543	0.1358057319159587	0.7260518096287174	1.2750589166220478	-0.3304630048367808	0.9903278419421326	1.309497055774294	0.5328250795945937	0.33855987080820654	1.6764144928641935	0.6043420638729764	1.0703508093070946	-1.8437555159516994	0.4811750784426126	0.41532172021159397	0.0980393569330956	0.6887986029773561	0.2532058843114922	-0.24985914992416222	0.9064536159639615	-0.7522641566258034	-0.05730486329813646	-0.2262681914528608	0.6381866253374215	1.2587594234842296	0.4184836481663862	-0.2560178372991781	-0.38526335539054174	-0.32112558194422736	-0.726435078671442	1.4683230094602422	-0.08426111463160031	0.146180305819032	-0.511655427966422
DTXSID0020494	6.68965285221018	-15.317025747669685	5.454261421031326	0.7680398623380997	0.2802713231886414	-5.98671554227896	5.673492003184509	7.31462460534698	-0.7007097861335324	8.561547967701998	-3.5496491604011875	-4.862707406635778	-0.9622225734481921	-0.3165611520572865	-0.32497806765639353	0.4563240081315315	0.09034056636469427	0.13424588165040852	2.0607399399738053	-2.7859480365203724	0.8763927749500219	2.337789914648976	-1.7079533011377066	2.159496054082169	1.5816093292690834	-3.2101600488393394	-0.6323315576804611	-1.8229075397882735	-1.7883606020523153	2.731375042345819	0.1945933415769036	1.6483506918804869	3.0217862459446554	2.2928884087288877	2.35946098920095	-0.7060365088295972	-0.6646314045534641	-0.6400588186926561	1.8457465516227505	-0.9497820981045179	1.2349655554824719	0.0030175538320923157	0.992339735741221	0.0859202103427586	-0.7285150599232234	-1.8219199176324028	-0.0753921988151638	-1.1282915030916492	0.1449689398432793	0.5649552386502157	1.567868501721799	1.3490913742547783	0.32942213265994247	-0.17682356497469046	-0.3310452940177489	-0.5215458692219095	-0.7424105751710005	-0.21757723154966932	0.4913228730691934	0.817539259416142	-0.20657917955781538	1.2198978819817707	-0.7320542772485411	1.2596212209813948	-1.256046737329538	-0.4171868059644378	0.5266931911910196	-0.13349019332840564	0.8761097781928612	0.043570156415449486	0.9280745718158074	0.45558828669802653	-0.12804321657152856	0.9241239617310396	-0.7288024105705164	0.2999755489880079	1.379579896641162	0.9164695884861044	-0.7272872288556674	-0.3143333951029709	0.16304459809222155	-0.894454209647757	-0.5379310770004588	-0.11303904967110952	1.2687066482645493	-0.11895640696471628	-0.7486121994194602	0.27330687277793675	-0.41019800178163646	0.7100157465784885	0.28241372885454996	0.4011218523495981	0.3432726629428534	0.1130752909270261	-0.4806406294060193	0.04000374273596291	-0.6169945731520047	-0.6830607094301226	-0.5641926215670809	0.32180688604477375
DTXSID0020442	-2.025625664520021	-4.396693619931745	-11.038224760504427	-6.276803804722934	-0.2693612712708391	-11.30405984721147	1.0925301025510576	-6.9651635300455546	-10.067795381377156	-5.413458382051331	1.0293035380267685	-0.5232373019610634	4.84590436855245	-0.7084970462614639	2.266544837573665	0.21897134842128127	-0.6035960673872744	0.8032393571871842	-1.3949044497111736	-2.0707405539761496	2.0419893118005223	0.4952508227557443	2.224024771076026	-3.029272936267688	-0.2003660555604689	-0.31624634807878726	1.7230852824987974	-0.24092250566877005	1.8785818971551551	-3.025898347565504	1.2483541604739519	-0.5627749302020176	-0.07422501493661028	2.4127978508123227	2.7669204208219056	1.6113022951858609	1.6404788717010137	0.615313786027909	0.4822246504485619	-0.37587823018662564	-0.12995809193359284	-0.164745009020107	1.2807354584483122	-0.5594130853601722	0.4651971011683051	1.0024204869027709	-1.563038258947376	-1.4959468898828927	1.5465325016484723	0.6837249237438829	-0.33219363571590804	1.2268506415168572	-0.29493238567512076	0.5147029617707555	0.5926565786327924	-0.13230349879410291	1.053476154703102	-1.6339806939297992	-1.7941661743313129	1.7662722027263171	0.9303845874850936	-0.8844303800628246	2.0934607399004608	0.6957665549235584	0.5125694597033918	-0.8850664518303764	-0.10250490088364035	1.8860502773718617	1.4115785515342663	0.16133586988470774	0.8468831129561947	1.101157434652512	0.1491559733990687	1.3109678344299653	0.7269884743827317	0.7811373953374966	0.4457728757283616	-0.5640225256618698	-1.1764546963054228	0.22622247766449582	0.8187800205176126	0.3970157248724039	-0.12841336440532478	-2.1318160758423237	0.09572507360686325	0.3798729618836832	-1.3430830441965664	0.33855551807114076	-0.5808438589224694	-1.7126185543578476	-1.2802313970074148	0.6065694152914584	-0.24146973674425765	-0.30105478740788755	0.7095624788558069	0.42408235832803115	-0.40426200421381187	0.5452521601627202	-0.5682867201187205	0.752344844178224
DTXSID0020498	-6.136203605363283	-5.65974792145677	-15.287759358011172	2.59087017228766	11.482338252871848	-2.7291900612509745	8.997583385289746	-0.2628423881845903	0.329223812603112	2.488788664766626	5.818368080701469	0.1334389047732665	1.2279828619628952	5.3554637103823435	1.4765060635361342	0.948168076275276	-0.11646531889355458	-2.0387124500456073	0.3519761137321515	-1.444428417892851	-0.10545452021306996	1.0665275226335662	-2.1715806107948783	1.0464119748602532	-0.23247986322691136	-0.03546388068717762	-1.2846179617974092	0.9132483732254595	-0.3703035080989471	-1.1001881273469174	1.1200119558706125	0.6994075288077014	-1.297454122577333	-0.4529358140116019	-1.2873508663138225	-1.4843214962740314	0.42311410402009525	-0.458362833351524	-0.3066777004794751	1.0320438381044323	0.41977684986827557	-1.5589625716234277	1.734387800953007	-0.22623411909787305	-0.10625087416935855	0.32507943539453044	-1.797963401717655	0.11144901092695199	-0.4319410493441399	0.42135824568285996	-0.8159649197478048	-0.18604707743749885	-0.34280552024104655	0.578598064990385	0.14294598076555592	0.8248499227098397	-1.8039413465560097	-0.6665474007408887	0.5384069313758022	-0.43588882886689084	1.2681719934335416	1.273801689748826	-0.5931795070339863	-0.8972316328186938	0.949031521722385	0.002227323188650569	-0.07342851614753906	-0.35966079666648487	0.5998836590155782	-0.37377184962917914	0.8301444633246955	-0.5819811070910176	-0.6231888372342309	-1.470453860542051	-0.7622005882303494	0.13613107189951454	-0.5829047120801482	-0.08362901450272661	-0.049075112675748475	0.22222839470946368	-0.1586141883169702	-0.28232176984912005	-0.3278196011793656	-1.1369329516345756	0.6897655814841233	0.4114194369063441	-0.19224118103764332	-1.563488644560569	-0.5570356903232362	-0.8354034480494896	0.34052186684834096	-0.05321884277709352	-0.0532464450012617	0.34908555336080543	0.3117563014318848	-0.38690571939213847	-0.04825059689013078	-0.7382193450121189	0.6387195300149078	0.5652435750141909
DTXSID0020440	-0.534903598370296	-3.46949200268996	-9.739791795943717	-5.645123525155892	-5.145786500695797	-12.378852579226267	-2.071095804584563	-6.069931405397565	-9.410467894084395	-6.875026996878297	-1.9927272117721477	-1.5141323491712781	2.714372552953238	-0.2905120263620494	0.9749462533974294	0.29522730391038116	0.12478002508943024	-0.03554160639996589	-1.5161560802321459	-1.9945274077636614	2.37322407265009	1.3470052716546534	0.8683707442141223	-1.7663831045321672	0.5240255196045974	1.513421622214208	0.9161408855235912	-1.5344522669785279	1.420884524927388	-3.156999485553174	1.5360254431812792	2.158141952786403	2.284944164501148	1.9920603445884097	0.9976544642698597	-0.21932156768682284	1.7625939099799783	0.6029735054193206	0.9275620890936442	-0.23510394717846395	-0.5642627185775122	2.1075097809033005	1.3181354873125026	-0.33975923723292845	-1.174498027322807	0.4781272590786006	0.014930817486615582	-0.37266623251813696	-1.4638968739678893	0.6194840440575843	-0.7073463766181457	0.29837231190499974	-0.5392140891570927	-0.2512146559425029	-0.7510422604455438	1.3899550318440388	0.6792964139766969	0.1941776087935874	-0.374338038687881	-0.537377229834055	1.6167288162460034	0.011796171436568113	1.4531603621787594	-0.45478988486733574	-0.1573521588873961	1.4252488419749239	-0.5007642692608175	2.050072235986031	-1.109803747082864	-0.7053247744845316	-0.6814935579855603	-1.725232518849601	-0.7518948555949451	0.31676870917145494	2.2571778523778288	0.9890454680389396	-1.371232890818895	-0.6439849042253051	-1.1296300370796115	-0.1273214274578933	1.5394303310515356	1.2015314007283442	0.4280166477821132	-1.2995407264783274	0.6976662021036686	-0.3925966105373232	1.318050356847962	-0.05658850613871835	-0.6662913214032604	-0.5389741404910715	-0.8113752549833703	0.33405395959985357	0.2272773062150647	0.10293130777859734	-0.041125597767928346	-0.8230721749604	-0.6552556523651345	0.40320447415658517	-0.38915816350001725	-1.1049268445685687
